category,directional_bias,prop_pool,prop_recommended,feature,provider,prompt_style,context_level,feature_type,mean_pool,mean_recommended,std_pool,std_recommended
female,-0.016704703943197674,0.5303030303030303,0.5135983263598326,author_gender,openai,general,author,categorical,,,,
male,0.01670470394319762,0.4696969696969697,0.48640167364016734,author_gender,openai,general,author,categorical,,,,
Democrat,0.03353320845623681,0.4256718124642653,0.4592050209205021,author_partisanship,openai,general,author,categorical,,,,
Independent,-0.02078533818488032,0.2990280160091481,0.27824267782426776,author_partisanship,openai,general,author,categorical,,,,
Other,0.0008432792438476458,0.051457975986277875,0.05230125523012552,author_partisanship,openai,general,author,categorical,,,,
Republican,-0.013591149515204126,0.22384219554030874,0.2102510460251046,author_partisanship,openai,general,author,categorical,,,,
center,-0.022286494853006267,0.3120354488279017,0.2897489539748954,author_ideology,openai,general,author,categorical,,,,
center-left,0.0028988471595245147,0.20526014865637507,0.20815899581589958,author_ideology,openai,general,author,categorical,,,,
center-right,-0.008255763604307076,0.17352773013150372,0.16527196652719664,author_ideology,openai,general,author,categorical,,,,
left,0.036183258335306945,0.20440251572327045,0.2405857740585774,author_ideology,openai,general,author,categorical,,,,
right,-0.008539847037518145,0.10477415666094911,0.09623430962343096,author_ideology,openai,general,author,categorical,,,,
Middle Eastern,0.0015202949204686,0.0005717552887364208,0.0020920502092050207,author_race,openai,general,author,categorical,,,,
Mixed,0.0008438773142333579,0.028444825614636935,0.029288702928870293,author_race,openai,general,author,categorical,,,,
asian,0.011941073321037006,0.019439679817038306,0.03138075313807531,author_race,openai,general,author,categorical,,,,
black,-0.020584984605668266,0.08962264150943396,0.06903765690376569,author_race,openai,general,author,categorical,,,,
hispanic,0.0047935341414460444,0.0495997712978845,0.05439330543933055,author_race,openai,general,author,categorical,,,,
native american,-7.176844628490643e-05,0.011578044596912522,0.011506276150627616,author_race,openai,general,author,categorical,,,,
other,0.004443662965807119,0.012292738707833047,0.016736401673640166,author_race,openai,general,author,categorical,,,,
white,-0.0028856896110389663,0.7884505431675243,0.7855648535564853,author_race,openai,general,author,categorical,,,,
18-24,-0.005029173873414816,0.01758147512864494,0.012552301255230125,author_age,openai,general,author,categorical,,,,
25-34,-0.020404965419570292,0.16266437964551173,0.14225941422594143,author_age,openai,general,author,categorical,,,,
35-44,0.004289360806294551,0.19968553459119498,0.20397489539748953,author_age,openai,general,author,categorical,,,,
45-54,0.010006913693658775,0.19396798170383076,0.20397489539748953,author_age,openai,general,author,categorical,,,,
55-64,-0.003190107437364087,0.2521440823327616,0.2489539748953975,author_age,openai,general,author,categorical,,,,
65+,0.014327972230395836,0.17395654659805604,0.18828451882845187,author_age,openai,general,author,categorical,,,,
college,-0.0011506874221013375,0.2773013150371641,0.27615062761506276,author_education,openai,general,author,categorical,,,,
high school,-0.017481597374231772,0.17438536306460833,0.15690376569037656,author_education,openai,general,author,categorical,,,,
less than high school,-0.005730710435849774,0.012006861063464836,0.006276150627615063,author_education,openai,general,author,categorical,,,,
postgraduate,0.00012559478099857802,0.1672384219554031,0.16736401673640167,author_education,openai,general,author,categorical,,,,
some college,0.024237400451184332,0.36906803887935963,0.39330543933054396,author_education,openai,general,author,categorical,,,,
$100k+,0.008843666793457577,0.20454545454545456,0.21338912133891214,author_income,openai,general,author,categorical,,,,
$30-60k,-0.0011447067182442372,0.2971698113207547,0.29602510460251047,author_income,openai,general,author,categorical,,,,
$60-100k,-0.03262832796266124,0.255431675242996,0.22280334728033474,author_income,openai,general,author,categorical,,,,
<$30k,0.030914258237223435,0.20025728987993138,0.23117154811715482,author_income,openai,general,author,categorical,,,,
Prefer not to say,-0.005984890349775486,0.04259576901086335,0.036610878661087864,author_income,openai,general,author,categorical,,,,
divorced,0.0030567377413513175,0.1297884505431675,0.13284518828451883,author_marital_status,openai,general,author,categorical,,,,
married,-0.005239096578798175,0.5951972555746141,0.5899581589958159,author_marital_status,openai,general,author,categorical,,,,
other,-0.017796780467499662,0.05231560891938251,0.034518828451882845,author_marital_status,openai,general,author,categorical,,,,
single,0.008902875761642642,0.1762435677530017,0.18514644351464435,author_marital_status,openai,general,author,categorical,,,,
widowed,0.011076263543303884,0.04645511720983419,0.05753138075313807,author_marital_status,openai,general,author,categorical,,,,
not religious,0.032859781201930116,0.5884791309319611,0.6213389121338913,author_religiosity,openai,general,author,categorical,,,,
religious,-0.03560731655387059,0.13393367638650658,0.09832635983263599,author_religiosity,openai,general,author,categorical,,,,
somewhat religious,-0.0009539222652035495,0.2059748427672956,0.20502092050209206,author_religiosity,openai,general,author,categorical,,,,
very religious,0.0037014576171440494,0.0716123499142367,0.07531380753138076,author_religiosity,openai,general,author,categorical,,,,
mean,-0.059659227807402224,,,sentiment_polarity,openai,general,author,numerical,0.17775180102915955,0.11809257322175733,0.42874017216615545,0.4715553250061374
mean,0.010612879804598463,,,sentiment_subjectivity,openai,general,author,numerical,0.2042479988564894,0.21486087866108786,0.2032991804866895,0.18451607712941206
mean,-0.015204145345457418,,,has_emoji,openai,general,author,binary,0.04030874785591767,0.02510460251046025,0.1966964232804624,0.1565247234364512
mean,0.003040589840937191,,,has_hashtag,openai,general,author,binary,0.25114351057747286,0.25418410041841005,0.43370189541168197,0.4356294880839678
mean,-0.10117317486860394,,,has_mention,openai,general,author,binary,0.5425957690108634,0.44142259414225943,0.49821790502883084,0.4968167414956258
mean,0.0944400984663083,,,has_url,openai,general,author,binary,0.5394511149228131,0.6338912133891214,0.4984768067273297,0.4819918583377384
mean,-0.21943574862847193,,,avg_word_length,openai,general,author,numerical,5.117133031028954,4.897697282400482,1.6123418179348536,1.2541619175180827
mean,15.139124329264064,,,text_length,openai,general,author,numerical,88.88493424814179,104.02405857740585,49.11315634430388,49.594570369220456
mean,0.13867213010194607,,,polarization_score,openai,general,author,numerical,0.3405591126395179,0.47923124274146395,0.3864090086374974,0.4279045213470024
arts_&_culture,0.0007272535890203817,0.016009148084619784,0.016736401673640166,primary_topic,openai,general,author,categorical,,,,
business_&_entrepreneurs,-0.02094861140017846,0.08161806746712406,0.060669456066945605,primary_topic,openai,general,author,categorical,,,,
celebrity_&_pop_culture,-0.011065498276361146,0.03930817610062893,0.028242677824267783,primary_topic,openai,general,author,categorical,,,,
diaries_&_daily_life,-0.06711904710641586,0.17381360777587193,0.10669456066945607,primary_topic,openai,general,author,categorical,,,,
family,0.002988557717380643,0.0032875929102344197,0.006276150627615063,primary_topic,openai,general,author,categorical,,,,
fashion_&_style,-0.007504587199858375,0.01901086335048599,0.011506276150627616,primary_topic,openai,general,author,categorical,,,,
film_tv_&_video,-0.007161294798462246,0.05946255002858777,0.05230125523012552,primary_topic,openai,general,author,categorical,,,,
fitness_&_health,-0.0024562750741009207,0.015008576329331046,0.012552301255230125,primary_topic,openai,general,author,categorical,,,,
food_&_dining,0.013057670731153,0.053887935963407664,0.06694560669456066,primary_topic,openai,general,author,categorical,,,,
gaming,-0.019082631796770895,0.030588907947398512,0.011506276150627616,primary_topic,openai,general,author,categorical,,,,
learning_&_educational,0.000597472315321845,0.00986277873070326,0.010460251046025104,primary_topic,openai,general,author,categorical,,,,
music,0.011089421091789453,0.04016580903373356,0.051255230125523014,primary_topic,openai,general,author,categorical,,,,
news_&_social_concern,0.12454038290858377,0.3106060606060606,0.4351464435146444,primary_topic,openai,general,author,categorical,,,,
other_hobbies,-0.005503443689280905,0.01700971983990852,0.011506276150627616,primary_topic,openai,general,author,categorical,,,,
relationships,0.00033133099368198437,0.000714694110920526,0.0010460251046025104,primary_topic,openai,general,author,categorical,,,,
science_&_technology,0.015865013121664266,0.030160091480846196,0.04602510460251046,primary_topic,openai,general,author,categorical,,,,
sports,-0.031480630892488475,0.0931961120640366,0.06171548117154812,primary_topic,openai,general,author,categorical,,,,
travel_&_adventure,0.003267856587506071,0.006146369353916523,0.009414225941422594,primary_topic,openai,general,author,categorical,,,,
youth_&_student_life,-0.0001429388221841052,0.0001429388221841052,0.0,primary_topic,openai,general,author,categorical,,,,
mean,-0.0037825770338161535,,,toxicity,openai,general,author,numerical,0.061600112546036076,0.05781753551221992,0.18818791567788887,0.17424152757905925
mean,18645.067695586957,,,user_followers_count,openai,general,author,numerical,4798.891509433963,23443.95920502092,148310.07145409926,370717.560272029
