feature,provider,prompt_style,context_level,rf_importance,shap_importance,auroc,n_samples,n_positive,n_negative
author_gender,openai,general,author,0.014156212987586925,0.00217024434677827,0.7948395378690629,979,200,779
author_partisanship,openai,general,author,0.015242810924055999,0.002772466322958182,0.7948395378690629,979,200,779
author_ideology,openai,general,author,0.03292020531499031,0.0114983209112774,0.7948395378690629,979,200,779
author_race,openai,general,author,0.027053043621401852,0.00690965871492961,0.7948395378690629,979,200,779
author_age,openai,general,author,0.033342585129471455,0.007615471763776639,0.7948395378690629,979,200,779
author_education,openai,general,author,0.018593334360745343,0.003167260954010993,0.7948395378690629,979,200,779
author_income,openai,general,author,0.023666906679696363,0.0034703839845842514,0.7948395378690629,979,200,779
author_marital_status,openai,general,author,0.01666310359237591,0.002199231108160551,0.7948395378690629,979,200,779
author_religiosity,openai,general,author,0.023490489965944435,0.0060433192057614445,0.7948395378690629,979,200,779
sentiment_polarity,openai,general,author,0.08484431348128606,0.01174377629270944,0.7948395378690629,979,200,779
sentiment_subjectivity,openai,general,author,0.07868142592815604,0.009810754719342231,0.7948395378690629,979,200,779
polarization_score,openai,general,author,0.07591518086855362,0.011472053860565028,0.7948395378690629,979,200,779
primary_topic,openai,general,author,0.05313793471313797,0.0074150051446829025,0.7948395378690629,979,200,779
toxicity,openai,general,author,0.08199286195236373,0.019411029835514373,0.7948395378690629,979,200,779
user_followers_count,openai,general,author,0.05362705218001977,0.009110699050224557,0.7948395378690629,979,200,779
user_friends_count,openai,general,author,0.05556777670429498,0.010603890942620275,0.7948395378690629,979,200,779
user_statuses_count,openai,general,author,0.07072704461888629,0.011906624218591054,0.7948395378690629,979,200,779
user_favourites_count,openai,general,author,0.06306846311583712,0.01185482623016535,0.7948395378690629,979,200,779
favorite_count,openai,general,author,0.07863675733887474,0.012907131666442284,0.7948395378690629,979,200,779
retweet_count,openai,general,author,0.08575958579072715,0.01464310907654288,0.7948395378690629,979,200,779
retweeted,openai,general,author,0.012912910731593917,0.0018805582897733018,0.7948395378690629,979,200,779
author_gender,openai,general,author_post,0.0196669875598009,0.0030526306906044193,0.7795956354300385,979,200,779
author_partisanship,openai,general,author_post,0.0171421704767248,0.0023072852209865225,0.7795956354300385,979,200,779
author_ideology,openai,general,author_post,0.022935861025572518,0.002974128651882357,0.7795956354300385,979,200,779
author_race,openai,general,author_post,0.03276126197840492,0.005102071782954606,0.7795956354300385,979,200,779
author_age,openai,general,author_post,0.03276124021715576,0.006146580078451227,0.7795956354300385,979,200,779
author_education,openai,general,author_post,0.018811803639879474,0.002927686294628512,0.7795956354300385,979,200,779
author_income,openai,general,author_post,0.026523523123371313,0.005925759272611432,0.7795956354300385,979,200,779
author_marital_status,openai,general,author_post,0.018960100289869393,0.006822125052590439,0.7795956354300385,979,200,779
author_religiosity,openai,general,author_post,0.029342405869631247,0.013948284947493037,0.7795956354300385,979,200,779
