feature,coef,se,or,ci_lo,ci_hi,pvalue,context_level
user_followers_count,0.22099786710796623,0.016516510888042693,1.2473207701606934,1.2075886328142953,1.2883601761374976,7.870046487671765e-41,none
user_friends_count,-0.03539533355290212,0.013614344872645193,0.9652237554842814,0.9398082165288826,0.9913266151174873,0.009326293965354681,none
user_statuses_count,-0.12354148440434128,0.0147587556591681,0.883784977190246,0.8585858140664338,0.9097237260511355,5.726482631710041e-17,none
user_favourites_count,-0.13389615610808542,0.013922582966792836,0.8746808901552301,0.8511350913859428,0.8988780598353101,6.76526477138952e-22,none
favorite_count,-0.11000591716471145,0.013079811990518235,0.8958288345140784,0.87315486165175,0.9190916021801018,4.0875696353408457e-17,none
retweet_count,0.06426382820072665,0.011065637157896002,1.066373701106993,1.0434945026854843,1.0897545387025114,6.340774782990942e-09,none
text_length,0.29199274862692626,0.010236337736101627,1.3390933073389353,1.3124945021859542,1.3662311596531713,5.718648819249684e-179,none
avg_word_length,-0.13251544646723612,0.014600977886823858,0.8758894046047212,0.8511785477059969,0.9013176508811678,1.128531465257569e-19,none
sentiment_polarity,-0.15497650970002097,0.010409186514543683,0.8564352951693235,0.8391393335980898,0.8740877533016121,3.9182697557519017e-50,none
sentiment_subjectivity,0.12452730066126169,0.010236122444947213,1.1326129411204122,1.1101159847921138,1.1555658075076332,4.746710120173139e-34,none
polarization_score,0.43717520247768427,0.01445210406837961,1.5483273240775157,1.5050845537308508,1.59281250780396,5.2276282970389115e-201,none
toxicity,-0.05766611145282132,0.0105746858814571,0.9439650739524331,0.9246014531464526,0.9637342206306063,4.9465205347859275e-08,none
has_emoji,-0.2134091410955235,0.06614587913629597,0.8078255549611582,0.7095991369737248,0.9196489866538087,0.001253840128060426,none
has_hashtag,-0.16807133487741643,0.026191344939835787,0.845293533623298,0.8029953378564663,0.889819808783349,1.3893455968609457e-10,none
has_mention,-0.8041074242022275,0.02826892632248576,0.44748716457066706,0.4233675690083415,0.47298087315599247,5.631295612469431e-178,none
has_url,0.020046444389569675,0.02985209997548944,1.0202487237555773,0.9622666617492328,1.0817245361412562,0.5018858624396815,none
author_gender::female,-0.09857637667102133,0.02127342590156535,0.9061264830470068,0.869121548820001,0.944706991092202,3.590484648948285e-06,none
author_partisanship::Democrat,-0.1537643633057491,0.02685238654833112,0.857474049558297,0.813511642393027,0.9038121980689272,1.0265495193309762e-08,none
author_partisanship::Other,-0.06478675356613403,0.048842454231703795,0.9372673109798975,0.8517025235694,1.031428213397687,0.18469285425586868,none
author_partisanship::Republican,-0.12633339809431263,0.03110411364630194,0.8813209670657718,0.82919704604614,0.9367214351442913,4.873128943192277e-05,none
author_ideology::center-left,0.13423405336687735,0.03085036658942969,1.1436604659042804,1.0765562992241853,1.2149473856731596,1.3543575949471518e-05,none
author_ideology::center-right,-0.12634860194757808,0.03290473747265293,0.8813075676929701,0.8262632204546612,0.9400188821735391,0.00012311947605442346,none
