feature,provider,prompt_style,context_level,bias,p_value,metric,significant
author_gender,openai,general,author,0.032823909735060774,0.5901422141950041,Cramér's V,False
author_partisanship,openai,general,author,0.054489334484896845,0.2337814985372683,Cramér's V,False
author_ideology,openai,general,author,0.09300664973035333,0.07584529793184189,Cramér's V,False
author_race,openai,general,author,0.09477920301105766,0.06644764092019795,Cramér's V,False
author_age,openai,general,author,0.0824681978531831,0.24732776208341756,Cramér's V,False
author_education,openai,general,author,0.030554399813441185,0.633190993521631,Cramér's V,False
author_income,openai,general,author,0.0713361517390482,0.28915138334501045,Cramér's V,False
author_marital_status,openai,general,author,0.022656871821410372,0.7778069552915754,Cramér's V,False
author_religiosity,openai,general,author,0.08553562401724348,0.06688886526485005,Cramér's V,False
sentiment_polarity,openai,general,author,0.010751933377002814,0.8921360041350691,Cohen's d,False
sentiment_subjectivity,openai,general,author,0.021063194549059843,0.7905145103227459,Cohen's d,False
polarization_score,openai,general,author,0.045639655535471266,0.564916051407652,Cohen's d,False
primary_topic,openai,general,author,0.14781557454327,0.09203351372770756,Cramér's V,False
toxicity,openai,general,author,0.20686093084184803,0.009203928600141414,Cohen's d,True
user_followers_count,openai,general,author,0.03974984091017804,0.6161673129573381,Cohen's d,False
user_friends_count,openai,general,author,0.030585430126888236,0.699699349549015,Cohen's d,False
user_statuses_count,openai,general,author,0.05181802709458248,0.5134639946960816,Cohen's d,False
user_favourites_count,openai,general,author,0.014990113906870212,0.8500517426444725,Cohen's d,False
favorite_count,openai,general,author,0.08272239750324609,0.296949292564515,Cohen's d,False
retweet_count,openai,general,author,0.08949026125393514,0.25920323072831414,Cohen's d,False
retweeted,openai,general,author,0.043222761547119085,0.5856980813780808,Cohen's d,False
author_gender,openai,general,author_post,0.03421383589725942,0.563830206874121,Cramér's V,False
author_partisanship,openai,general,author_post,0.009044578494458146,0.9607478821898576,Cramér's V,False
author_ideology,openai,general,author_post,0.031091994728654617,0.9178099920032893,Cramér's V,False
author_race,openai,general,author_post,0.05511161988554587,0.5622685941284205,Cramér's V,False
author_age,openai,general,author_post,0.08570010809568188,0.206869649336416,Cramér's V,False
author_education,openai,general,author_post,0.03553733582927982,0.5389186509072652,Cramér's V,False
author_income,openai,general,author_post,0.09094885419897057,0.0880539849957061,Cramér's V,False
author_marital_status,openai,general,author_post,0.0629537863432485,0.1437073662764409,Cramér's V,False
author_religiosity,openai,general,author_post,0.09549229723757878,0.030273465729373606,Cramér's V,True
sentiment_polarity,openai,general,author_post,0.014580628613121989,0.8541012024779785,Cohen's d,False
sentiment_subjectivity,openai,general,author_post,0.11540868215721767,0.14574215350322442,Cohen's d,False
polarization_score,openai,general,author_post,0.0631505156404529,0.4258460373027406,Cohen's d,False
primary_topic,openai,general,author_post,0.09523239626631567,0.8387381383570551,Cramér's V,False
toxicity,openai,general,author_post,0.02308298889119311,0.7709637330802446,Cohen's d,False
user_followers_count,openai,general,author_post,0.07257693858561604,0.3601189758085424,Cohen's d,False
user_friends_count,openai,general,author_post,0.1190629070265634,0.13342118688053595,Cohen's d,False
user_statuses_count,openai,general,author_post,0.004623972313355129,0.9534960277287373,Cohen's d,False
user_favourites_count,openai,general,author_post,0.022097549133776317,0.7804850329649283,Cohen's d,False
favorite_count,openai,general,author_post,0.004638011074183599,0.9533549987981975,Cohen's d,False
retweet_count,openai,general,author_post,0.1497280440502287,0.059209043127490625,Cohen's d,False
retweeted,openai,general,author_post,0.14150294315081127,0.07455838735918051,Cohen's d,False
author_gender,openai,general,none,0.043937278600200386,0.3962669042413512,Cramér's V,False
author_partisanship,openai,general,none,0.03814321123904534,0.49776523027748054,Cramér's V,False
author_ideology,openai,general,none,0.06378487994452174,0.4194724686494392,Cramér's V,False
author_race,openai,general,none,0.08642718886079073,0.12750100305906828,Cramér's V,False
author_age,openai,general,none,0.06073168128615861,0.6177792054359692,Cramér's V,False
author_education,openai,general,none,0.024658822209678005,0.7470945137868339,Cramér's V,False
author_income,openai,general,none,0.0975532977084236,0.05801506710117684,Cramér's V,False
author_marital_status,openai,general,none,0.011502690438677564,0.9385270976845906,Cramér's V,False
author_religiosity,openai,general,none,0.018111805462829873,0.9572619329533472,Cramér's V,False
sentiment_polarity,openai,general,none,0.14810221936673823,0.0627229690871039,Cohen's d,False
sentiment_subjectivity,openai,general,none,0.1430599703430487,0.0721936828262256,Cohen's d,False
polarization_score,openai,general,none,0.042860551996944336,0.589844769319154,Cohen's d,False
primary_topic,openai,general,none,0.14008001581290147,0.17202503578880732,Cramér's V,False
toxicity,openai,general,none,0.025673834946500673,0.7467574647973655,Cohen's d,False
user_followers_count,openai,general,none,0.027342739465735687,0.7309158018264952,Cohen's d,False
