feature,bias,label
primary_topic,0.4069036656870279,Content: Primary Topic
sentiment_subjectivity,0.2208633964837299,Sentiment: Subjectivity
avg_word_length,0.183322924092472,Text: Avg Word Length
polarization_score,0.178136597194674,Content: Polarization
has_emoji,0.1773241389867146,Style: Has Emoji
author_ideology,0.1648627414011551,Author: Ideology
has_hashtag,0.1220858016551452,Style: Has Hashtag
author_partisanship,0.105518714615935,Author: Partisanship
has_url,0.077658027471532,Style: Has URL
has_mention,0.077658027471532,Style: Has Mention
author_race,0.0316623793430651,Author: Race
toxicity,0.0184071355747885,Toxicity: Score
sentiment_polarity,0.0011465269854483,Sentiment: Polarity
author_gender,0.0,Author: Gender
