feature,feature_display,neutral,general,popular,engaging,informative,controversial,average
primary_topic,Content: Primary Topic,0.01662995930557339,0.010129199117024609,0.018265647964098516,0.014505210750261404,0.014023838730775076,0.012683429748799506,0.014372880936088751
author_ideology,Author: Ideology,0.002392604439229442,0.008010757586390967,0.004657869343087327,0.004926953737807901,0.005083451657730887,0.0012932826387153026,0.004394153233826971
author_race,Author: Race,0.002664222833470051,0.005008120891035295,0.003380765400795426,0.0072370796176813,0.004280514348424432,0.0034660765813860155,0.004339463278798753
author_age,Author: Age,0.003365473051812566,0.00373340890542726,0.006772755923254263,0.003956251091012378,0.004868683190227058,0.0032908040129878036,0.004331229362453555
author_income,Author: Income,0.004026110750752625,0.003867775940618101,0.0032802642595246806,0.003266973677405817,0.00598199234024039,0.005203313911906429,0.004271071813408007
author_gender,Author: Gender,0.004390840767065781,0.004296946119280162,0.003914291026418759,0.004221425542211647,0.006395276042744949,0.0018180809147844538,0.004172810068750959
author_religiosity,Author: Religiosity,0.0022500054859458,0.004365293621612343,0.006490528557774706,0.0034298572098643647,0.0036291314851963053,0.0033024358684137305,0.003911208704801208
author_marital_status,Author: Marital Status,0.0024771589315595623,0.0034368881979554324,0.0027464058095774796,0.003379675247771984,0.0033762307350179177,0.006488150666879018,0.003650751598126899
author_education,Author: Education,0.0028992186178279033,0.006046281925451529,0.001562407983870717,0.004295324479262096,0.003265576590963808,0.003043355843467739,0.0035186942401406324
author_partisanship,Author: Partisanship,0.0036845654297970403,0.0015459818983077271,0.0024038443350010725,0.0028430586943841204,0.00228317518911389,0.0026023858940770694,0.0025605019067801533
sentiment_subjectivity,Sentiment: Subjectivity,0.002493512755497744,0.0005830918524550101,0.001402007639785339,0.002030359370948261,0.0009486013577339738,0.0036823770216526043,0.0018566583330121556
sentiment_polarity,Sentiment: Polarity,0.003355459422250618,0.00121704311776497,0.0004567875754966806,0.0017899822668481704,0.0015635702672929365,0.0009736679691523202,0.001559418436467616
polarization_score,Content: Polarization Score,9.604476767813439e-05,0.0033968990791714937,0.0012625598225493744,0.0029040405717662937,0.000911135359512765,7.282330644163623e-05,0.0014405838178532828
toxicity,Toxicity: Toxicity,0.0010486619617224105,0.00015970130162698903,0.0007454709683640002,0.001037125214751324,0.0016460819976648394,0.0006474978335442494,0.0008807565462789687
Mean Across Features,Mean Across Features,0.0036981313228702183,0.0039855278252944205,0.0040958290435427385,0.0042730941051412185,0.004161232806617088,0.003469120158014848,0.003947155876913423
