provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,college,-0.01,,Claude Sonnet 4.5
anthropic,controversial,high school,-0.0187499999999999,,Claude Sonnet 4.5
anthropic,controversial,postgraduate,0.0287499999999999,,Claude Sonnet 4.5
anthropic,engaging,college,0.1175,,Claude Sonnet 4.5
anthropic,engaging,high school,-0.0275,,Claude Sonnet 4.5
anthropic,engaging,postgraduate,-0.09,,Claude Sonnet 4.5
anthropic,general,college,-0.0037499999999999,,Claude Sonnet 4.5
anthropic,general,high school,0.0325,,Claude Sonnet 4.5
anthropic,general,postgraduate,-0.0287499999999999,,Claude Sonnet 4.5
anthropic,informative,college,-0.0524999999999999,,Claude Sonnet 4.5
anthropic,informative,high school,0.065,,Claude Sonnet 4.5
anthropic,informative,postgraduate,-0.0125,,Claude Sonnet 4.5
anthropic,neutral,college,0.06,,Claude Sonnet 4.5
anthropic,neutral,high school,-0.0549999999999999,,Claude Sonnet 4.5
anthropic,neutral,postgraduate,-0.005,,Claude Sonnet 4.5
anthropic,popular,college,-0.0062499999999999,,Claude Sonnet 4.5
anthropic,popular,high school,-0.00625,,Claude Sonnet 4.5
anthropic,popular,postgraduate,0.0125,,Claude Sonnet 4.5
gemini,controversial,college,-0.0125,,Gemini 2.0 Flash
gemini,controversial,high school,-0.0249999999999999,,Gemini 2.0 Flash
gemini,controversial,postgraduate,0.0374999999999999,,Gemini 2.0 Flash
gemini,engaging,college,0.01,,Gemini 2.0 Flash
gemini,engaging,high school,-0.0212499999999999,,Gemini 2.0 Flash
gemini,engaging,postgraduate,0.01125,,Gemini 2.0 Flash
gemini,general,college,0.0675,,Gemini 2.0 Flash
gemini,general,high school,-0.0574999999999999,,Gemini 2.0 Flash
gemini,general,postgraduate,-0.01,,Gemini 2.0 Flash
gemini,informative,college,0.00625,,Gemini 2.0 Flash
gemini,informative,high school,0.03,,Gemini 2.0 Flash
gemini,informative,postgraduate,-0.0362499999999999,,Gemini 2.0 Flash
gemini,neutral,college,0.0124999999999999,,Gemini 2.0 Flash
gemini,neutral,high school,-0.05375,,Gemini 2.0 Flash
gemini,neutral,postgraduate,0.0412499999999999,,Gemini 2.0 Flash
gemini,popular,college,-0.0262499999999999,,Gemini 2.0 Flash
gemini,popular,high school,0.05,,Gemini 2.0 Flash
gemini,popular,postgraduate,-0.0237499999999999,,Gemini 2.0 Flash
openai,controversial,college,-0.1049999999999999,,GPT-4o-mini
openai,controversial,high school,0.0649999999999999,,GPT-4o-mini
openai,controversial,postgraduate,0.04,,GPT-4o-mini
openai,engaging,college,0.005,,GPT-4o-mini
openai,engaging,high school,0.03875,,GPT-4o-mini
openai,engaging,postgraduate,-0.0437499999999999,,GPT-4o-mini
openai,general,college,-0.1425,,GPT-4o-mini
openai,general,high school,0.0574999999999999,,GPT-4o-mini
openai,general,postgraduate,0.085,,GPT-4o-mini
openai,informative,college,-0.0424999999999999,,GPT-4o-mini
openai,informative,high school,0.0825,,GPT-4o-mini
openai,informative,postgraduate,-0.04,,GPT-4o-mini
openai,neutral,college,0.0675,,GPT-4o-mini
openai,neutral,high school,-0.03625,,GPT-4o-mini
openai,neutral,postgraduate,-0.03125,,GPT-4o-mini
openai,popular,college,0.03375,,GPT-4o-mini
openai,popular,high school,0.0212499999999999,,GPT-4o-mini
openai,popular,postgraduate,-0.055,,GPT-4o-mini
