feature,provider,context_level,r_squared
user_favourites_count,anthropic,author,0.001780688919565341
user_favourites_count,anthropic,author_post,0.0006507001625323136
user_favourites_count,gemini,author,0.0001641268685404183
user_favourites_count,gemini,author_post,0.0012707387576585732
user_favourites_count,openai,author,0.0017213072482723049
user_favourites_count,openai,author_post,0.0008986129930164309
user_followers_count,anthropic,author,0.0016490524489632147
user_followers_count,anthropic,author_post,0.0004930798711360803
user_followers_count,gemini,author,0.002509371030862459
user_followers_count,gemini,author_post,0.0010191219709153744
user_followers_count,openai,author,0.0007111070809952139
user_followers_count,openai,author_post,0.0011265310466062985
user_friends_count,anthropic,author,0.0012724695186361373
user_friends_count,anthropic,author_post,0.0008963028652275964
user_friends_count,gemini,author,0.000817308410660699
user_friends_count,gemini,author_post,0.000599527776334728
user_friends_count,openai,author,0.0008239518408652336
user_friends_count,openai,author_post,0.002059873498452435
user_statuses_count,anthropic,author,0.00030268645351929995
user_statuses_count,anthropic,author_post,0.0007335503681616547
user_statuses_count,gemini,author,0.0012724364080868539
user_statuses_count,gemini,author_post,0.00205612301896842
user_statuses_count,openai,author,0.0003060449188467871
user_statuses_count,openai,author_post,0.0005672379066370099
