feature,provider,context_level,r_squared
favorite_count,anthropic,author_post,0.0069389415662298205
favorite_count,anthropic,post,0.0083412432564725
favorite_count,gemini,author_post,0.004279766027922408
favorite_count,gemini,post,0.00521405259534325
favorite_count,openai,author_post,0.002528108176755265
favorite_count,openai,post,0.00450330072183867
retweet_count,anthropic,author_post,0.005452078452908504
retweet_count,anthropic,post,0.0065725638963937474
retweet_count,gemini,author_post,0.0035206370794338628
retweet_count,gemini,post,0.005665572880381814
retweet_count,openai,author_post,0.0021076735976359538
retweet_count,openai,post,0.006139077401305738
retweeted,anthropic,author_post,0.0
retweeted,anthropic,post,0.0
retweeted,gemini,author_post,0.0
retweeted,gemini,post,0.0
retweeted,openai,author_post,0.0
retweeted,openai,post,0.0
