feature,provider,context_level,directional_bias
user_favourites_count,anthropic,author,263.4188616945615
user_favourites_count,anthropic,author_post,1272.768170387625
user_favourites_count,anthropic,none,-758.7630905354669
user_favourites_count,anthropic,post,680.1743065621746
user_favourites_count,google,author,3449.8654321195067
user_favourites_count,google,author_post,4086.457808132996
user_favourites_count,google,none,-1045.8733201827074
user_favourites_count,google,post,-698.2512549128684
user_favourites_count,openai,author,8014.748627780932
user_favourites_count,openai,author_post,9509.356882236825
user_favourites_count,openai,none,-1759.0690416468021
user_favourites_count,openai,post,1150.340432327432
user_followers_count,anthropic,author,25264.71551624114
user_followers_count,anthropic,author_post,31882.09033275342
user_followers_count,anthropic,none,31340.566586232293
user_followers_count,anthropic,post,65842.14207885986
user_followers_count,google,author,37304.7535735592
user_followers_count,google,author_post,50346.71132044182
user_followers_count,google,none,5828.325316953041
user_followers_count,google,post,47992.78999595757
user_followers_count,openai,author,24002.098575010616
user_followers_count,openai,author_post,25490.287181800657
user_followers_count,openai,none,26421.390965181112
user_followers_count,openai,post,56802.46490720234
user_friends_count,anthropic,author,324.62830999734166
user_friends_count,anthropic,author_post,643.8915503926775
user_friends_count,anthropic,none,226.55029269017598
user_friends_count,anthropic,post,459.52565807918114
user_friends_count,google,author,462.1388137925034
user_friends_count,google,author_post,818.9575824499722
user_friends_count,google,none,207.11893448247864
user_friends_count,google,post,518.4719367487795
user_friends_count,openai,author,577.3444414940373
user_friends_count,openai,author_post,1013.0779200120916
user_friends_count,openai,none,188.90887687882721
user_friends_count,openai,post,613.5793384115077
user_statuses_count,anthropic,author,4402.0721456901965
user_statuses_count,anthropic,author_post,8360.435982437903
user_statuses_count,anthropic,none,4035.352197595946
user_statuses_count,anthropic,post,2747.764842278573
user_statuses_count,google,author,7385.592856756357
user_statuses_count,google,author_post,10051.242872476867
user_statuses_count,google,none,5788.641972215778
user_statuses_count,google,post,7919.747868718972
user_statuses_count,openai,author,6964.7234596884855
user_statuses_count,openai,author_post,11553.361360848257
user_statuses_count,openai,none,1652.320221262743
user_statuses_count,openai,post,4395.741507835747
