feature,provider,context_level,directional_bias
favorite_count,anthropic,author,1.672932152289336
favorite_count,anthropic,author_post,5.454058251644604
favorite_count,anthropic,none,0.9195619777107629
favorite_count,anthropic,post,4.385904437641928
favorite_count,gemini,author,6.087661911478153
favorite_count,gemini,author_post,3.9153507355624058
favorite_count,gemini,none,0.6932627345780191
favorite_count,gemini,post,2.7155059785865787
favorite_count,openai,author,0.2403788356108243
favorite_count,openai,author_post,3.0771433359510034
favorite_count,openai,none,-0.07697357286097743
favorite_count,openai,post,5.566845819314231
retweet_count,anthropic,author,0.7194791814226383
retweet_count,anthropic,author_post,2.2864276494496987
retweet_count,anthropic,none,0.29887216395658434
retweet_count,anthropic,post,1.4056576229265394
retweet_count,gemini,author,2.6128257198863807
retweet_count,gemini,author_post,1.4904415781239766
retweet_count,gemini,none,0.3942030352431419
retweet_count,gemini,post,0.8676574632693027
retweet_count,openai,author,0.1082301775713228
retweet_count,openai,author_post,1.2430098373938645
retweet_count,openai,none,-0.07201635556362317
retweet_count,openai,post,2.8350972152369214
retweeted,anthropic,author,0.0
retweeted,anthropic,author_post,0.0
retweeted,anthropic,none,0.0
retweeted,anthropic,post,0.0
retweeted,gemini,author,0.0
retweeted,gemini,author_post,0.0
retweeted,gemini,none,0.0
retweeted,gemini,post,0.0
retweeted,openai,author,0.0
retweeted,openai,author_post,0.0
retweeted,openai,none,0.0
retweeted,openai,post,0.0
