feature,feature_display,neutral,general,popular,engaging,informative,controversial,average
polarization_score,Content: Polarization Score,0.020912091605961778,0.0207745430199574,0.004520627174563763,0.019689311041330055,0.09897171918253451,0.22874910524574213,0.06560289954501494
text_length,Text: Character Length,0.021991003496517256,0.022808035242865576,0.011528799037451872,0.013112957801960855,0.05620725234815505,0.08037012216622173,0.03433636168219539
primary_topic,Content: Primary Topic,0.01138976977161428,0.013612512047292752,0.010197885242219413,0.008133251318704621,0.05007100971129932,0.08627798218098724,0.02994706837868627
has_mention,Style: Has Mention,0.015767484161204052,0.042201513874517926,0.03688235154388695,0.014764103821233094,0.029299527039642375,0.0057584422926479075,0.02411223712218872
sentiment_polarity,Sentiment: Polarity,0.00493026877074072,0.010993691547419743,0.00390900578996652,0.01208378909286969,0.019899936990024316,0.06453314398447889,0.019391639362583316
has_url,Style: Has URL,0.0008731114632348314,0.00627418521948082,0.0028685969072228205,0.004772410701430679,0.048204187911049586,0.004243286083445486,0.011205963047644036
avg_word_length,Text: Avg Word Length,0.005491523881601246,0.01025586880527399,0.011176545699283433,0.0074107990361929115,0.004319603053722164,0.008409456484171978,0.007843966160040954
user_favourites_count,Author Meta: Likes Given,0.013514961945416362,0.00481277143421522,0.010014051103921522,0.014832119944192935,0.000983109580042099,9.361902189639031e-05,0.0073751055049474205
user_followers_count,Author Meta: Followers,0.005821570245122874,0.010819862766155158,0.006027011734162882,0.0006708772971874602,0.01261217136513172,0.0020398462720041,0.006331889946627365
author_ideology,Author: Ideology,0.006031254001829239,0.0028912114792180393,0.003448875656927882,0.0033727548654407745,0.004071450469737514,0.007338019313751386,0.004525594297817473
user_friends_count,Author Meta: Following,0.010751657233600142,0.002511961619937373,0.0041747940364532275,0.0051341241717599165,0.0008032011650864755,0.002083322393264721,0.004243176770016976
toxicity,Toxicity: Toxicity,0.0013360766038777597,0.000196598922446648,0.0016413246054221824,0.004460177748421871,0.005453219010789409,0.009536011168554973,0.003770568009918807
has_hashtag,Style: Has Hashtag,0.0018208079530901468,0.0021983457892384736,0.004050333975545217,0.0013404519229311337,0.004056694866497439,0.008502660669496419,0.0036615491961331384
favorite_count,Post Meta: Likes,0.006771383847926574,0.007185158865901291,0.0021721646988933536,0.0016486109457169978,0.0007370577400880042,0.0020224318447062935,0.0034228013238720855
author_age,Author: Age,0.0011593842524939852,0.0008564269000653629,0.002000477773369588,0.0023297438607151246,0.0051095231567199065,0.007814527923302032,0.003211680644444333
retweet_count,Post Meta: Retweets,0.0052861472164039205,0.006648246084795716,0.0016739819979315108,0.001226740141480485,0.0007624056735056465,0.0022806339605884363,0.0029796925124509527
user_statuses_count,Author Meta: Tweet Count,0.0037664275414698565,0.004243727705253398,0.0017828881228975763,0.002359654941319437,0.004158515322047403,0.0008405677328098639,0.0028586302276329225
author_gender,Author: Gender,0.0014317739518099832,0.0025957703639964418,0.0004441361512434137,0.0009963071351800459,0.0033006244581967985,0.007376952302097354,0.002690927393754006
author_education,Author: Education,0.003137008293219975,0.0025276015829859264,0.0027865345618420466,0.0012265109424016193,0.004027155782773362,0.002118547192293376,0.002637226392586051
has_emoji,Style: Has Emoji,0.00047193456106888154,0.0008151276850285211,0.0006789126399062297,0.0005664767589401036,0.005446912215041612,0.007187886406779801,0.0025278750444608583
sentiment_subjectivity,Sentiment: Subjectivity,0.0006757310367268596,0.001432684719614419,0.002194445920449409,0.0005898941681245737,0.008570851902375312,0.0003682342622828904,0.0023053070015955773
author_income,Author: Income,0.002055351622898089,0.0021422964292964627,0.002708793414635287,0.0012193063691040408,0.002195156194699125,0.003290477629844383,0.0022685636100795645
author_race,Author: Race,0.001518767276699897,0.001817366884220616,0.0024998465112817153,0.0017461363732862816,0.0023766154795710984,0.0018242352590398757,0.001963827964016581
author_partisanship,Author: Partisanship,0.0018888831764821013,0.0014113575075554786,0.001965012580607587,0.0012005177249929274,0.001197540381905777,0.0010229465705512922,0.0014477096570158607
author_religiosity,Author: Religiosity,0.0006706480241259294,0.0012005379081124797,0.0006672595775066898,0.0013666897194571526,0.0022599934876545275,0.0006331459010098534,0.0011330457696444387
author_marital_status,Author: Marital Status,0.0005644805007485697,0.0006897785569499803,0.0008446922346387814,0.0006776540708757394,0.002647140558052381,0.0012369907779144855,0.001110122783196656
retweeted,Post Meta: Is Retweeted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean Across Features,Mean Across Features,0.005556648238366122,0.0068117475171035275,0.004920716618230773,0.004701161922787057,0.013990465742457147,0.020220466482958638,0.009366867753650546
