feature,feature_display,neutral_normalized,general_normalized,popular_normalized,engaging_normalized,informative_normalized,controversial_normalized
primary_topic,Content: Primary Topic,0.3175367224606813,1.1240008006158404,-1.4811369893161692,1.100628196217368,0.04730586646532889,-1.1083345964430509
author_age,Author: Age,-2.0687774526734124,0.12350034887275642,0.5539887443939935,0.9873518544079328,0.6152223824152669,-0.2112858774165464
author_ideology,Author: Ideology,0.9263990327872264,-0.4174919325178216,0.42393262547220284,0.9343456835598969,0.10841831128248842,-1.9756037205839923
author_income,Author: Income,-0.3852791904839887,-1.181036733193272,1.4539767870898275,-0.7454982303091642,-0.4133857738045315,1.271223140701129
author_race,Author: Race,1.304056757817276,-0.2826620877726063,1.1918791925421643,-0.5144804555708866,-1.5880855581305784,-0.11070784888537263
author_education,Author: Education,-0.6714713365660325,-1.5147460421135293,1.1215726941916713,1.2089604661887623,0.44006590422547737,-0.5843816859263498
author_partisanship,Author: Partisanship,-1.3719610168070338,1.4353845524735422,-0.7708312176609998,-0.214691433146842,1.1653178261383124,-0.24321871099697961
author_religiosity,Author: Religiosity,-1.5767148228070005,0.18140226281975164,0.7417490442392931,0.3799209700188911,-1.0355890386471893,1.3092315843762528
Retweeted,Retweeted,-0.12871221905868901,-1.195691551556285,-0.8854916858554686,0.9532422728814872,-0.3893668565882748,1.6460200401772318
sentiment_subjectivity,Sentiment: Subjectivity,-0.9310031201503274,0.4412980903472567,0.4048691496344309,-1.5101815485348287,0.015881709658462945,1.5791357190450044
author_gender,Author: Gender,-0.769947419485898,1.7679815151682496,0.045500571154932216,-0.38803479821367826,-1.3059986214480168,0.6504987528244092
Favorite Count,Favorite Count,-0.25224571895018144,0.23548400491954752,-2.004422398220722,1.17311084426521,0.17164106812428712,0.676432199861867
toxicity,Toxicity: Toxicity,-0.2533575585732227,1.730930465627171,-0.34513178788244414,-1.408638196085017,-0.4936331053419191,0.7698301822554316
User Followers Count,User Followers Count,0.17138364186922223,1.4771624583984564,-0.8003551333703549,-1.6749414215285054,0.39259715453168786,0.4341533000994948
author_marital_status,Author: Marital Status,-0.5597032690915088,-1.0763881928943606,1.1118550067014703,-1.283408363208339,0.9778907262713709,0.8297540922213685
User Favourites Count,User Favourites Count,-0.3420498492689326,-0.691694763273896,0.7446435166839587,1.796410531324844,-0.2602053160928943,-1.24710411937308
polarization_score,Content: Polarization Score,0.6163541919200857,-1.3668047256306433,-0.20276761220561468,1.2767779607903476,-1.1688375546142582,0.8452777397400912
Retweet Count,Retweet Count,1.5875461098334542,0.9552872874070213,0.14309199773195638,-0.8052186815601718,-0.6856552689769473,-1.1950514444353122
User Friends Count,User Friends Count,0.2504041478674,-0.046507524006384915,1.0909748989789922,0.24438743196335855,0.5533452579705672,-2.092604212773934
sentiment_polarity,Sentiment: Polarity,-1.7540364751512927,0.008266136298033352,-0.027250176941409708,1.6511106263495916,0.36832103887525663,-0.24641114943018108
User Statuses Count,User Statuses Count,-1.6317069912296667,-1.0093867150206408,0.42707139497201435,0.2763360901183116,0.6666799118195935,1.2710063093403858
