provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.3141140350378277,,Claude Sonnet 4.5
anthropic,engaging,-0.3266976008214985,,Claude Sonnet 4.5
anthropic,general,-0.3682203448194441,,Claude Sonnet 4.5
anthropic,informative,-0.182430495426197,,Claude Sonnet 4.5
anthropic,neutral,-0.2943216371319774,,Claude Sonnet 4.5
anthropic,popular,-0.4205297319101673,,Claude Sonnet 4.5
gemini,controversial,-0.3520578002494874,,Gemini 2.0 Flash
gemini,engaging,-0.2585700264592656,,Gemini 2.0 Flash
gemini,general,-0.3182868941176959,,Gemini 2.0 Flash
gemini,informative,-0.1615634767339306,,Gemini 2.0 Flash
gemini,neutral,-0.1451038811038589,,Gemini 2.0 Flash
gemini,popular,-0.2384634908424292,,Gemini 2.0 Flash
openai,controversial,-0.1767812619640398,,GPT-4o-mini
openai,engaging,-0.1099032876088612,,GPT-4o-mini
openai,general,-0.1930548915247474,,GPT-4o-mini
openai,informative,-0.1706419709789326,,GPT-4o-mini
openai,neutral,-0.088711342212604,,GPT-4o-mini
openai,popular,-0.1222699030750789,,GPT-4o-mini
