provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.0436917831730461,,Claude Sonnet 4.5
anthropic,engaging,-0.1608309901056611,,Claude Sonnet 4.5
anthropic,general,-0.2184282772820864,,Claude Sonnet 4.5
anthropic,informative,-0.1474923641326845,,Claude Sonnet 4.5
anthropic,neutral,-0.178502660585789,,Claude Sonnet 4.5
anthropic,popular,-0.2273157706691697,,Claude Sonnet 4.5
gemini,controversial,-0.1018527473309119,,Gemini 2.0 Flash
gemini,engaging,-0.0843380596635665,,Gemini 2.0 Flash
gemini,general,-0.2104677323418224,,Gemini 2.0 Flash
gemini,informative,-0.1716993279604374,,Gemini 2.0 Flash
gemini,neutral,-0.0660602232048853,,Gemini 2.0 Flash
gemini,popular,-0.1749864897919711,,Gemini 2.0 Flash
openai,controversial,-0.030082675539417,,GPT-4o-mini
openai,engaging,-0.0402073350368746,,GPT-4o-mini
openai,general,-0.0890100014311812,,GPT-4o-mini
openai,informative,-0.1329549340712263,,GPT-4o-mini
openai,neutral,-0.0167550962693519,,GPT-4o-mini
openai,popular,-0.0634546742406355,,GPT-4o-mini
