provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-9056.6163449287,,Claude Sonnet 4.5
anthropic,engaging,10959.818774132047,,Claude Sonnet 4.5
anthropic,general,59984.48683321894,,Claude Sonnet 4.5
anthropic,informative,14654.011818067034,,Claude Sonnet 4.5
anthropic,neutral,28131.87631444887,,Claude Sonnet 4.5
anthropic,popular,28141.9528908118,,Claude Sonnet 4.5
gemini,controversial,14845.543836779285,,Gemini 2.0 Flash
gemini,engaging,-302.28823121991627,,Gemini 2.0 Flash
gemini,general,73140.85522297797,,Gemini 2.0 Flash
gemini,informative,22856.49322902732,,Gemini 2.0 Flash
gemini,neutral,50208.11894649886,,Gemini 2.0 Flash
gemini,popular,35027.904991097486,,Gemini 2.0 Flash
openai,controversial,20255.455708054968,,GPT-4o-mini
openai,engaging,-2057.130273634728,,GPT-4o-mini
openai,general,16403.532897173838,,GPT-4o-mini
openai,informative,84101.6249558261,,GPT-4o-mini
openai,neutral,-3147.5649926445594,,GPT-4o-mini
openai,popular,11123.94982506556,,GPT-4o-mini
