provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-140.1747217519303,,Claude Sonnet 4.5
anthropic,engaging,359.9068882896197,,Claude Sonnet 4.5
anthropic,general,203.43119011667815,,Claude Sonnet 4.5
anthropic,informative,-7.012527880995776,,Claude Sonnet 4.5
anthropic,neutral,1009.5453228024032,,Claude Sonnet 4.5
anthropic,popular,277.1871311721252,,Claude Sonnet 4.5
gemini,controversial,463.29262023920865,,Gemini 2.0 Flash
gemini,engaging,292.76315045121555,,Gemini 2.0 Flash
gemini,general,339.87574755295395,,Gemini 2.0 Flash
gemini,informative,340.3091425967532,,Gemini 2.0 Flash
gemini,neutral,695.539758005734,,Gemini 2.0 Flash
gemini,popular,296.3764319398383,,Gemini 2.0 Flash
openai,controversial,282.24856754055327,,GPT-4o-mini
openai,engaging,903.8577649276484,,GPT-4o-mini
openai,general,455.1997902688097,,GPT-4o-mini
openai,informative,154.39194433858415,,GPT-4o-mini
openai,neutral,533.8541286462619,,GPT-4o-mini
openai,popular,720.9429079899141,,GPT-4o-mini
