provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-2473.9858403295348,,Claude Sonnet 4.5
anthropic,engaging,3882.7386997245703,,Claude Sonnet 4.5
anthropic,general,10077.804518874402,,Claude Sonnet 4.5
anthropic,informative,8093.390571174819,,Claude Sonnet 4.5
anthropic,neutral,4922.403037370917,,Claude Sonnet 4.5
anthropic,popular,-1328.370935003204,,Claude Sonnet 4.5
gemini,controversial,5427.249440943759,,Gemini 2.0 Flash
gemini,engaging,2785.2261269502487,,Gemini 2.0 Flash
gemini,general,7919.825789985838,,Gemini 2.0 Flash
gemini,informative,8529.622365198102,,Gemini 2.0 Flash
gemini,neutral,6969.6917122633095,,Gemini 2.0 Flash
gemini,popular,7179.510479655048,,Gemini 2.0 Flash
openai,controversial,3847.7103361071295,,GPT-4o-mini
openai,engaging,8312.186740361449,,GPT-4o-mini
openai,general,3091.5250446191803,,GPT-4o-mini
openai,informative,7823.609506846851,,GPT-4o-mini
openai,neutral,6933.429067091476,,GPT-4o-mini
openai,popular,6793.2170178191955,,GPT-4o-mini
