provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.0,,Claude Sonnet 4.5
anthropic,engaging,0.0,,Claude Sonnet 4.5
anthropic,general,0.0,,Claude Sonnet 4.5
anthropic,informative,0.0,,Claude Sonnet 4.5
anthropic,neutral,0.0,,Claude Sonnet 4.5
anthropic,popular,0.0,,Claude Sonnet 4.5
gemini,controversial,0.0,,Gemini 2.0 Flash
gemini,engaging,0.0,,Gemini 2.0 Flash
gemini,general,0.0,,Gemini 2.0 Flash
gemini,informative,0.0,,Gemini 2.0 Flash
gemini,neutral,0.0,,Gemini 2.0 Flash
gemini,popular,0.0,,Gemini 2.0 Flash
openai,controversial,0.0,,GPT-4o-mini
openai,engaging,0.0,,GPT-4o-mini
openai,general,0.0,,GPT-4o-mini
openai,informative,0.0,,GPT-4o-mini
openai,neutral,0.0,,GPT-4o-mini
openai,popular,0.0,,GPT-4o-mini
