provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,18-24,-0.0086782073449986,,Claude Sonnet 4.5
anthropic,controversial,25-34,-0.0495780731562397,,Claude Sonnet 4.5
anthropic,controversial,35-44,-0.0038547556896701,,Claude Sonnet 4.5
anthropic,controversial,45-54,-0.014478032432288,,Claude Sonnet 4.5
anthropic,controversial,55-64,0.0084064917984632,,Claude Sonnet 4.5
anthropic,controversial,65+,0.0681825768247334,,Claude Sonnet 4.5
anthropic,engaging,18-24,0.0007495720624952,,Claude Sonnet 4.5
anthropic,engaging,25-34,0.028399241160501,,Claude Sonnet 4.5
anthropic,engaging,35-44,0.0185266956682911,,Claude Sonnet 4.5
anthropic,engaging,45-54,-0.0204219772711579,,Claude Sonnet 4.5
anthropic,engaging,55-64,-0.0340823602525103,,Claude Sonnet 4.5
anthropic,engaging,65+,0.0068288286323807,,Claude Sonnet 4.5
anthropic,general,18-24,-0.0039710063423626,,Claude Sonnet 4.5
anthropic,general,25-34,-0.0140203705439435,,Claude Sonnet 4.5
anthropic,general,35-44,0.0242525072640359,,Claude Sonnet 4.5
anthropic,general,45-54,-0.0091276908176336,,Claude Sonnet 4.5
anthropic,general,55-64,-0.0257646764770206,,Claude Sonnet 4.5
anthropic,general,65+,0.0286312369169244,,Claude Sonnet 4.5
anthropic,informative,18-24,-0.0110470219858495,,Claude Sonnet 4.5
anthropic,informative,25-34,-0.062912165715904,,Claude Sonnet 4.5
anthropic,informative,35-44,-0.0329375500361056,,Claude Sonnet 4.5
anthropic,informative,45-54,0.0119936468704523,,Claude Sonnet 4.5
anthropic,informative,55-64,0.0466826904804814,,Claude Sonnet 4.5
anthropic,informative,65+,0.0482204003869254,,Claude Sonnet 4.5
anthropic,neutral,18-24,-0.006284614023237,,Claude Sonnet 4.5
anthropic,neutral,25-34,-0.0140082262887281,,Claude Sonnet 4.5
anthropic,neutral,35-44,0.0306943050694805,,Claude Sonnet 4.5
anthropic,neutral,45-54,-0.0226023722622664,,Claude Sonnet 4.5
anthropic,neutral,55-64,-0.0142296819100408,,Claude Sonnet 4.5
anthropic,neutral,65+,0.0264305894147919,,Claude Sonnet 4.5
anthropic,popular,18-24,0.0094475197669694,,Claude Sonnet 4.5
anthropic,popular,25-34,0.0103300436748,,Claude Sonnet 4.5
anthropic,popular,35-44,0.0533340457395498,,Claude Sonnet 4.5
anthropic,popular,45-54,-0.0110949591425822,,Claude Sonnet 4.5
anthropic,popular,55-64,-0.0532767768777507,,Claude Sonnet 4.5
anthropic,popular,65+,-0.0087398731609862,,Claude Sonnet 4.5
google,controversial,18-24,-0.0121865171660902,,Gemini 2.0 Flash
google,controversial,25-34,-0.037534950152623,,Gemini 2.0 Flash
google,controversial,35-44,-0.0243087438603489,,Gemini 2.0 Flash
google,controversial,45-54,-0.0209727629230971,,Gemini 2.0 Flash
google,controversial,55-64,0.0163589865969503,,Gemini 2.0 Flash
google,controversial,65+,0.0786439875052091,,Gemini 2.0 Flash
google,engaging,18-24,0.0029931863655418,,Gemini 2.0 Flash
google,engaging,25-34,-0.0138451095119122,,Gemini 2.0 Flash
google,engaging,35-44,0.0264487439717316,,Gemini 2.0 Flash
google,engaging,45-54,-0.0125994740206367,,Gemini 2.0 Flash
google,engaging,55-64,-0.0105477118333374,,Gemini 2.0 Flash
google,engaging,65+,0.007550365028613,,Gemini 2.0 Flash
google,general,18-24,0.0069434785864832,,Gemini 2.0 Flash
google,general,25-34,-0.0025562842582389,,Gemini 2.0 Flash
google,general,35-44,0.0017460334442435,,Gemini 2.0 Flash
google,general,45-54,-0.0145142596297524,,Gemini 2.0 Flash
google,general,55-64,0.0088935012321375,,Gemini 2.0 Flash
google,general,65+,-0.0005124693748729,,Gemini 2.0 Flash
google,informative,18-24,-0.0065936836442928,,Gemini 2.0 Flash
google,informative,25-34,-0.0337123408170639,,Gemini 2.0 Flash
google,informative,35-44,-0.0272529995420209,,Gemini 2.0 Flash
google,informative,45-54,0.0076283822210231,,Gemini 2.0 Flash
google,informative,55-64,0.05371596101945,,Gemini 2.0 Flash
google,informative,65+,0.0062146807629044,,Gemini 2.0 Flash
google,neutral,18-24,0.0034419566984408,,Gemini 2.0 Flash
google,neutral,25-34,0.0061265055789551,,Gemini 2.0 Flash
google,neutral,35-44,0.0210204684844454,,Gemini 2.0 Flash
google,neutral,45-54,-0.0269208601197073,,Gemini 2.0 Flash
google,neutral,55-64,0.0163622256705829,,Gemini 2.0 Flash
google,neutral,65+,-0.020030296312717,,Gemini 2.0 Flash
google,popular,18-24,0.0058345202353435,,Gemini 2.0 Flash
google,popular,25-34,-0.0265723207690732,,Gemini 2.0 Flash
google,popular,35-44,0.0051302299198751,,Gemini 2.0 Flash
google,popular,45-54,0.0021092726215236,,Gemini 2.0 Flash
google,popular,55-64,0.0125849777132842,,Gemini 2.0 Flash
google,popular,65+,0.0009133202790468,,Gemini 2.0 Flash
openai,controversial,18-24,-0.0052025439474522,,GPT-4o-mini
openai,controversial,25-34,-0.0580347310598649,,GPT-4o-mini
openai,controversial,35-44,-0.0345795420183082,,GPT-4o-mini
openai,controversial,45-54,-0.0182008994047628,,GPT-4o-mini
openai,controversial,55-64,0.0023023597651392,,GPT-4o-mini
openai,controversial,65+,0.113715356665249,,GPT-4o-mini
openai,engaging,18-24,0.0020935410581682,,GPT-4o-mini
openai,engaging,25-34,-0.0222241000376472,,GPT-4o-mini
openai,engaging,35-44,0.0449624708975084,,GPT-4o-mini
openai,engaging,45-54,-0.0388730965298228,,GPT-4o-mini
openai,engaging,55-64,0.0581445806993495,,GPT-4o-mini
openai,engaging,65+,-0.0441033960875561,,GPT-4o-mini
openai,general,18-24,-0.0050291738734148,,GPT-4o-mini
openai,general,25-34,-0.0204049654195702,,GPT-4o-mini
openai,general,35-44,0.0042893608062945,,GPT-4o-mini
openai,general,45-54,0.0100069136936587,,GPT-4o-mini
openai,general,55-64,-0.003190107437364,,GPT-4o-mini
openai,general,65+,0.0143279722303958,,GPT-4o-mini
openai,informative,18-24,-0.0148592662703352,,GPT-4o-mini
openai,informative,25-34,-0.050341273376914,,GPT-4o-mini
openai,informative,35-44,-0.013516778856733,,GPT-4o-mini
openai,informative,45-54,-0.0243237562754655,,GPT-4o-mini
openai,informative,55-64,0.0508061940697708,,GPT-4o-mini
openai,informative,65+,0.0522348807096771,,GPT-4o-mini
openai,neutral,18-24,0.0003250256064098,,GPT-4o-mini
openai,neutral,25-34,-0.0118706280642728,,GPT-4o-mini
openai,neutral,35-44,0.0104190231879492,,GPT-4o-mini
openai,neutral,45-54,-0.0198728054715873,,GPT-4o-mini
openai,neutral,55-64,0.0051819123103228,,GPT-4o-mini
openai,neutral,65+,0.0158174724311783,,GPT-4o-mini
openai,popular,18-24,-0.0098657376557259,,GPT-4o-mini
openai,popular,25-34,-0.0299541675997522,,GPT-4o-mini
openai,popular,35-44,0.0045918586476892,,GPT-4o-mini
openai,popular,45-54,0.0027114187704126,,GPT-4o-mini
openai,popular,55-64,0.0173340617027324,,GPT-4o-mini
openai,popular,65+,0.0151825661346438,,GPT-4o-mini
