provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,center,-0.0510626661779508,,Claude Sonnet 4.5
anthropic,controversial,center-left,-0.0108585109292001,,Claude Sonnet 4.5
anthropic,controversial,center-right,-0.0363624992000186,,Claude Sonnet 4.5
anthropic,controversial,left,0.0510402666992477,,Claude Sonnet 4.5
anthropic,controversial,right,0.0472434096079218,,Claude Sonnet 4.5
anthropic,engaging,center,-0.0579512992517666,,Claude Sonnet 4.5
anthropic,engaging,center-left,0.0354379196616795,,Claude Sonnet 4.5
anthropic,engaging,center-right,-0.0299589255381426,,Claude Sonnet 4.5
anthropic,engaging,left,0.0586334744068355,,Claude Sonnet 4.5
anthropic,engaging,right,-0.0061611692786057,,Claude Sonnet 4.5
anthropic,general,center,-0.0352120796156485,,Claude Sonnet 4.5
anthropic,general,center-left,0.0340027453671928,,Claude Sonnet 4.5
anthropic,general,center-right,-0.0420521619766643,,Claude Sonnet 4.5
anthropic,general,left,0.0578970487302676,,Claude Sonnet 4.5
anthropic,general,right,-0.0146355525051475,,Claude Sonnet 4.5
anthropic,informative,center,-0.0378020885705594,,Claude Sonnet 4.5
anthropic,informative,center-left,-0.0322855325288685,,Claude Sonnet 4.5
anthropic,informative,center-right,-0.0080211661424911,,Claude Sonnet 4.5
anthropic,informative,left,0.0472993725593435,,Claude Sonnet 4.5
anthropic,informative,right,0.0308094146825756,,Claude Sonnet 4.5
anthropic,neutral,center,-0.0566239342115567,,Claude Sonnet 4.5
anthropic,neutral,center-left,-0.0108239944390487,,Claude Sonnet 4.5
anthropic,neutral,center-right,-0.043960821451321,,Claude Sonnet 4.5
anthropic,neutral,left,0.1092737420244995,,Claude Sonnet 4.5
anthropic,neutral,right,0.002135008077427,,Claude Sonnet 4.5
anthropic,popular,center,-0.0255220781434648,,Claude Sonnet 4.5
anthropic,popular,center-left,0.0140204513272509,,Claude Sonnet 4.5
anthropic,popular,center-right,-0.0451140969206683,,Claude Sonnet 4.5
anthropic,popular,left,0.0781571344447878,,Claude Sonnet 4.5
anthropic,popular,right,-0.0215414107079056,,Claude Sonnet 4.5
gemini,controversial,center,-0.0602585884703384,,Gemini 2.0 Flash
gemini,controversial,center-left,-0.0126371044879862,,Gemini 2.0 Flash
gemini,controversial,center-right,-0.0296084547273633,,Gemini 2.0 Flash
gemini,controversial,left,0.0349091939170188,,Gemini 2.0 Flash
gemini,controversial,right,0.0675949537686692,,Gemini 2.0 Flash
gemini,engaging,center,-0.0282453045252252,,Gemini 2.0 Flash
gemini,engaging,center-left,0.0363062023101663,,Gemini 2.0 Flash
gemini,engaging,center-right,-0.0489084427794597,,Gemini 2.0 Flash
gemini,engaging,left,0.0238809632711141,,Gemini 2.0 Flash
gemini,engaging,right,0.0169665817234044,,Gemini 2.0 Flash
gemini,general,center,-0.0244682823516528,,Gemini 2.0 Flash
gemini,general,center-left,0.0117832139986212,,Gemini 2.0 Flash
gemini,general,center-right,-0.0236494894365759,,Gemini 2.0 Flash
gemini,general,left,0.0448967300546774,,Gemini 2.0 Flash
gemini,general,right,-0.0085621722650698,,Gemini 2.0 Flash
gemini,informative,center,-0.0296737046959695,,Gemini 2.0 Flash
gemini,informative,center-left,-0.0172769509121584,,Gemini 2.0 Flash
gemini,informative,center-right,-0.0071021668725177,,Gemini 2.0 Flash
gemini,informative,left,0.0308948840209491,,Gemini 2.0 Flash
gemini,informative,right,0.0231579384596965,,Gemini 2.0 Flash
gemini,neutral,center,-0.0528163014075838,,Gemini 2.0 Flash
gemini,neutral,center-left,0.0319140871762476,,Gemini 2.0 Flash
gemini,neutral,center-right,-0.0145753761925587,,Gemini 2.0 Flash
gemini,neutral,left,0.0471127524823039,,Gemini 2.0 Flash
gemini,neutral,right,-0.011635162058409,,Gemini 2.0 Flash
gemini,popular,center,-0.0236064575950123,,Gemini 2.0 Flash
gemini,popular,center-left,0.0111264384816232,,Gemini 2.0 Flash
gemini,popular,center-right,-0.0071439135801766,,Gemini 2.0 Flash
gemini,popular,left,0.0053983947028607,,Gemini 2.0 Flash
gemini,popular,right,0.0142255379907049,,Gemini 2.0 Flash
openai,controversial,center,-0.0357165980832536,,GPT-4o-mini
openai,controversial,center-left,-0.0221921237575823,,GPT-4o-mini
openai,controversial,center-right,-0.0222009077237272,,GPT-4o-mini
openai,controversial,left,0.0344869844998416,,GPT-4o-mini
openai,controversial,right,0.0456226450647215,,GPT-4o-mini
openai,engaging,center,-0.0208720594702673,,GPT-4o-mini
openai,engaging,center-left,0.0155423621022549,,GPT-4o-mini
openai,engaging,center-right,-0.0094141638069951,,GPT-4o-mini
openai,engaging,left,0.021736500416076,,GPT-4o-mini
openai,engaging,right,-0.0069926392410685,,GPT-4o-mini
openai,general,center,-0.0196071828460301,,GPT-4o-mini
openai,general,center-left,0.0025503439044307,,GPT-4o-mini
openai,general,center-right,-0.0072632447404089,,GPT-4o-mini
openai,general,left,0.0318332589680341,,GPT-4o-mini
openai,general,right,-0.0075131752860257,,GPT-4o-mini
openai,informative,center,-0.046091605180861,,GPT-4o-mini
openai,informative,center-left,0.018752684047934,,GPT-4o-mini
openai,informative,center-right,-0.0372583202430114,,GPT-4o-mini
openai,informative,left,0.0125661657711464,,GPT-4o-mini
openai,informative,right,0.0520310756047918,,GPT-4o-mini
openai,neutral,center,-0.0252816990937371,,GPT-4o-mini
openai,neutral,center-left,0.0124190188076143,,GPT-4o-mini
openai,neutral,center-right,-0.0305458333441437,,GPT-4o-mini
openai,neutral,left,0.0462858269616453,,GPT-4o-mini
openai,neutral,right,-0.0028773133313787,,GPT-4o-mini
openai,popular,center,-0.0291393680138281,,GPT-4o-mini
openai,popular,center-left,0.0146415895738822,,GPT-4o-mini
openai,popular,center-right,-0.0072140412191245,,GPT-4o-mini
openai,popular,left,0.0416611637969674,,GPT-4o-mini
openai,popular,right,-0.019949344137897,,GPT-4o-mini
