provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,Middle Eastern,-0.0010982114841543,,Claude Sonnet 4.5
anthropic,controversial,Mixed,0.021465861979184,,Claude Sonnet 4.5
anthropic,controversial,asian,-0.0035847091575482,,Claude Sonnet 4.5
anthropic,controversial,black,-0.02404215262803,,Claude Sonnet 4.5
anthropic,controversial,hispanic,-0.0004296043100628,,Claude Sonnet 4.5
anthropic,controversial,native american,0.0019063482632235,,Claude Sonnet 4.5
anthropic,controversial,other,0.0079949128440673,,Claude Sonnet 4.5
anthropic,controversial,white,-0.0022124455066794,,Claude Sonnet 4.5
anthropic,engaging,Middle Eastern,-0.0011484352569623,,Claude Sonnet 4.5
anthropic,engaging,Mixed,-0.0050107756662559,,Claude Sonnet 4.5
anthropic,engaging,asian,0.0102432429485711,,Claude Sonnet 4.5
anthropic,engaging,black,-0.0024622306537722,,Claude Sonnet 4.5
anthropic,engaging,hispanic,-0.0137921259499122,,Claude Sonnet 4.5
anthropic,engaging,native american,-0.0033326428184636,,Claude Sonnet 4.5
anthropic,engaging,other,0.0008431549987825,,Claude Sonnet 4.5
anthropic,engaging,white,0.0146598123980128,,Claude Sonnet 4.5
anthropic,general,Middle Eastern,-0.0011747430249632,,Claude Sonnet 4.5
anthropic,general,Mixed,0.0066188646233636,,Claude Sonnet 4.5
anthropic,general,asian,0.0031789920954791,,Claude Sonnet 4.5
anthropic,general,black,-0.0225169494173149,,Claude Sonnet 4.5
anthropic,general,hispanic,-0.0161058518449089,,Claude Sonnet 4.5
anthropic,general,native american,-0.0054003811666198,,Claude Sonnet 4.5
anthropic,general,other,0.0001733995688443,,Claude Sonnet 4.5
anthropic,general,white,0.0352266691661198,,Claude Sonnet 4.5
anthropic,informative,Middle Eastern,0.0001529434409638,,Claude Sonnet 4.5
anthropic,informative,Mixed,0.0139287338735087,,Claude Sonnet 4.5
anthropic,informative,asian,0.006179497364714,,Claude Sonnet 4.5
anthropic,informative,black,-0.0090642742511901,,Claude Sonnet 4.5
anthropic,informative,hispanic,-0.0084711969801179,,Claude Sonnet 4.5
anthropic,informative,native american,0.0138536414024944,,Claude Sonnet 4.5
anthropic,informative,other,0.0011027865743243,,Claude Sonnet 4.5
anthropic,informative,white,-0.0176821314246972,,Claude Sonnet 4.5
anthropic,neutral,Middle Eastern,-0.000336816394758,,Claude Sonnet 4.5
anthropic,neutral,Mixed,0.0023966316507339,,Claude Sonnet 4.5
anthropic,neutral,asian,0.0016748160482124,,Claude Sonnet 4.5
anthropic,neutral,black,-0.0159559238452108,,Claude Sonnet 4.5
anthropic,neutral,hispanic,-0.0187709120357887,,Claude Sonnet 4.5
anthropic,neutral,native american,0.0028015525984898,,Claude Sonnet 4.5
anthropic,neutral,other,-0.0044254060560236,,Claude Sonnet 4.5
anthropic,neutral,white,0.032616058034345,,Claude Sonnet 4.5
anthropic,popular,Middle Eastern,-0.0011963511290563,,Claude Sonnet 4.5
anthropic,popular,Mixed,0.0100317235716485,,Claude Sonnet 4.5
anthropic,popular,asian,0.0209799024679041,,Claude Sonnet 4.5
anthropic,popular,black,-0.0106219152734058,,Claude Sonnet 4.5
anthropic,popular,hispanic,-0.0235037243184468,,Claude Sonnet 4.5
anthropic,popular,native american,-0.0046673354687095,,Claude Sonnet 4.5
anthropic,popular,other,-0.0065711796679265,,Claude Sonnet 4.5
anthropic,popular,white,0.0155488798179925,,Claude Sonnet 4.5
google,controversial,Middle Eastern,-0.001429706115965,,Gemini 2.0 Flash
google,controversial,Mixed,-0.0004945557902385,,Gemini 2.0 Flash
google,controversial,asian,0.0006037249293873,,Gemini 2.0 Flash
google,controversial,black,-0.0155948026229087,,Gemini 2.0 Flash
google,controversial,hispanic,-0.0059727807320921,,Gemini 2.0 Flash
google,controversial,native american,-0.0018245315343873,,Gemini 2.0 Flash
google,controversial,other,0.0023602261030001,,Gemini 2.0 Flash
google,controversial,white,0.0223524257632043,,Gemini 2.0 Flash
