feature,feature_type,category,pool_proportion,pool_proportion_std,pool_mean,pool_mean_std
author_age,categorical,18-24,0.014946,0.001949,,
author_age,categorical,25-34,0.158371,0.007025,,
author_age,categorical,35-44,0.19315,0.006635,,
author_age,categorical,45-54,0.19304,0.00588,,
author_age,categorical,55-64,0.265097,0.010657,,
author_age,categorical,65+,0.175396,0.008137,,
author_education,categorical,college,0.270857,0.00848,,
author_education,categorical,high school,0.180034,0.005507,,
author_education,categorical,less than high school,0.012003,0.001628,,
author_education,categorical,postgraduate,0.169334,0.005898,,
author_education,categorical,some college,0.367773,0.007658,,
author_gender,categorical,female,0.545612,0.009635,,
author_gender,categorical,male,0.454388,0.009635,,
author_ideology,categorical,center,0.316437,0.006548,,
author_ideology,categorical,center-left,0.206093,0.004052,,
author_ideology,categorical,center-right,0.177925,0.006363,,
author_ideology,categorical,left,0.199602,0.010025,,
author_ideology,categorical,right,0.099942,0.005239,,
author_income,categorical,$100k+,0.206407,0.00762,,
author_income,categorical,$30-60k,0.305377,0.009647,,
author_income,categorical,$60-100k,0.239066,0.00747,,
author_income,categorical,<$30k,0.201305,0.007159,,
author_income,categorical,Prefer not to say,0.047846,0.003832,,
author_marital_status,categorical,divorced,0.146045,0.006939,,
author_marital_status,categorical,married,0.59038,0.007962,,
author_marital_status,categorical,other,0.051815,0.002693,,
author_marital_status,categorical,single,0.165404,0.008271,,
author_marital_status,categorical,widowed,0.046356,0.00376,,
author_partisanship,categorical,Democrat,0.431997,0.010494,,
author_partisanship,categorical,Independent,0.291469,0.008467,,
author_partisanship,categorical,Other,0.054432,0.006002,,
author_partisanship,categorical,Republican,0.222102,0.010438,,
author_race,categorical,Middle Eastern,0.00107,0.000401,,
author_race,categorical,Mixed,0.031994,0.00358,,
author_race,categorical,asian,0.016573,0.001885,,
author_race,categorical,black,0.086994,0.006716,,
author_race,categorical,hispanic,0.054029,0.002903,,
author_race,categorical,native american,0.011933,0.00152,,
author_race,categorical,other,0.013948,0.001554,,
author_race,categorical,white,0.783459,0.009221,,
author_religiosity,categorical,not religious,0.597086,0.008968,,
author_religiosity,categorical,religious,0.122436,0.005606,,
author_religiosity,categorical,somewhat religious,0.208641,0.007182,,
author_religiosity,categorical,very religious,0.071837,0.004782,,
primary_topic,categorical,arts_&_culture,0.013625,0.001434,,
primary_topic,categorical,business_&_entrepreneurs,0.082657,0.006036,,
primary_topic,categorical,celebrity_&_pop_culture,0.044675,0.00292,,
primary_topic,categorical,diaries_&_daily_life,0.171002,0.007794,,
primary_topic,categorical,family,0.003851,0.000782,,
primary_topic,categorical,fashion_&_style,0.019304,0.002236,,
primary_topic,categorical,film_tv_&_video,0.063049,0.002802,,
primary_topic,categorical,fitness_&_health,0.013698,0.001483,,
primary_topic,categorical,food_&_dining,0.057744,0.003939,,
primary_topic,categorical,gaming,0.026721,0.001597,,
primary_topic,categorical,learning_&_educational,0.00787,0.001826,,
primary_topic,categorical,music,0.039888,0.004012,,
primary_topic,categorical,news_&_social_concern,0.308751,0.018464,,
primary_topic,categorical,other_hobbies,0.0191,0.002036,,
primary_topic,categorical,relationships,0.001069,0.000544,,
primary_topic,categorical,science_&_technology,0.030675,0.003851,,
primary_topic,categorical,sports,0.090364,0.006265,,
primary_topic,categorical,travel_&_adventure,0.005902,0.001286,,
primary_topic,categorical,youth_&_student_life,0.000145,8e-06,,
