feature,feature_display,neutral,general,popular,engaging,informative,controversial,average
polarization_score,Content: Polarization Score,0.03368337663514461,0.01761832562638057,0.007293463307753469,0.022311122091046822,0.0979498248499578,0.2359074690471293,0.0691272635929021
text_length,Text: Character Length,0.0391105556128563,0.029601540380952373,0.018262712557552237,0.024656451438087975,0.04918901679866992,0.09902149416774124,0.043306961825976674
primary_topic,Content: Primary Topic,0.01343508291855519,0.01372632905499104,0.007028727832285656,0.009834166440148,0.05577738205273922,0.09045292518930814,0.03170910224800454
has_mention,Style: Has Mention,0.014117029303942083,0.046129804881497156,0.036856247909071854,0.022080449675699432,0.03310225885171889,0.007988493212623305,0.02671238063909212
sentiment_polarity,Sentiment: Polarity,0.007386492250245785,0.008035828002249707,0.007130947597784265,0.009639078358100253,0.02176186832323175,0.06747575755963671,0.020238328681874744
user_friends_count,Author Meta: Following,0.026045058019534426,0.012674819535186876,0.012793734977215051,0.022367078100451864,0.005495430517863663,0.004555040876761647,0.013988527004502253
user_favourites_count,Author Meta: Likes Given,0.017975550809257338,0.004626672449164944,0.01955739447477559,0.021006448004743782,0.0005466506359997731,0.0007947313573715082,0.010751241288552156
favorite_count,Post Meta: Likes,0.019794994845586483,0.010438362215884353,0.010874074495238362,0.015612924188850527,0.0011833900868836284,0.00045127073806260537,0.009725836095084326
user_followers_count,Author Meta: Followers,0.007762505991283836,0.012645668464113165,0.010965262931287766,0.01337093203008167,0.009501735594288789,7.073375973825245e-05,0.009052806461798913
has_url,Style: Has URL,0.0025387210647630104,0.00599839252181971,0.00186908721053867,0.003218601447398365,0.03862714201009806,0.00045027105806280383,0.008783702552113436
avg_word_length,Text: Avg Word Length,0.004511648602684646,0.011151957877316598,0.012269181821363965,0.00910626758451614,0.0028402332144582217,0.011169389643290223,0.008508113123938298
retweet_count,Post Meta: Retweets,0.01673085163654821,0.008984924331481643,0.00854058662316884,0.010783594805696595,0.0011818968247703672,0.0005491328506806089,0.007795164512057711
author_ideology,Author: Ideology,0.00858437602125008,0.005901849404589577,0.006162080767638546,0.0062053493307858585,0.005410703471919615,0.009954811203813878,0.007036528366666259
toxicity,Toxicity: Toxicity,0.0016464697066192824,0.0005510927404791249,0.0028176364308061664,0.00861056916148839,0.007455433909539036,0.017534001688029037,0.006435867272826839
user_statuses_count,Author Meta: Tweet Count,0.009565951006400914,0.005787109456070853,0.004458526933361513,0.005105441511480544,0.00545993707954532,0.0009989696260837456,0.005229322602157149
author_age,Author: Age,0.002583221818023912,0.0008356862255467489,0.003919409135942623,0.002692579013004485,0.0067059786182541185,0.007768625252220708,0.004084250010498766
author_education,Author: Education,0.004650280458861455,0.002289489916493109,0.003002873287338607,0.002666238373841686,0.008857578487534018,0.0020215086492448484,0.00391466152888562
author_gender,Author: Gender,0.00273633290365839,0.001394570446798242,0.0010438443327187778,0.0010654896967067715,0.006064114320541769,0.0072383682382910425,0.003257119989785832
has_emoji,Style: Has Emoji,0.00047609586245134656,0.0008099885757811368,0.0004463244862782648,0.0004401002514389735,0.006803759876045256,0.009158583805983384,0.003022475476329727
author_race,Author: Race,0.0027452962731975665,0.0018202635268641271,0.0023067560486837104,0.0029204085558111174,0.00325590127000727,0.003231322519505249,0.0027133246990115067
has_hashtag,Style: Has Hashtag,0.0017070800952921914,0.0028193804130134744,0.0023971739016494186,0.00044004820260339176,0.0022540825359817175,0.004867366197252766,0.00241418855763216
sentiment_subjectivity,Sentiment: Subjectivity,0.00036332665463800697,0.0014081997329771897,0.0029580444277391873,0.001684419881932179,0.0055439189882952565,0.0004962461340519995,0.0020756926366056363
author_income,Author: Income,0.002243149773963849,0.0011355256077812787,0.002586435145630691,0.0021083437704778785,0.002840464479288379,0.0014637325046690547,0.0020629418803018553
author_marital_status,Author: Marital Status,0.0009207070907674362,0.0012961169763409243,0.0021097879160384193,0.0014185109672122827,0.0021742870101009704,0.0017557290268297332,0.0016125231645482943
author_partisanship,Author: Partisanship,0.0020947374800739742,0.0007838968940858223,0.0019838567902678537,0.0015971392825295553,0.00046209741870794556,0.002351734574484424,0.0015455770733582624
author_religiosity,Author: Religiosity,0.0005156457810346964,0.0004776047926786661,0.0009285665227670558,0.0005607159749146753,0.0015247126529916047,0.0016211303272951952,0.0009380626752803155
retweeted,Post Meta: Is Retweeted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean Across Features,Mean Across Features,0.009034242170986482,0.007738644446316236,0.007057879180181354,0.008203795116261082,0.014147029625164162,0.021827734785487465,0.01133488755406613
