provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.3606058975194726,,Claude Sonnet 4.5
anthropic,engaging,-0.3372674898449332,,Claude Sonnet 4.5
anthropic,general,-0.3948010430161606,,Claude Sonnet 4.5
anthropic,informative,-0.1590037761105813,,Claude Sonnet 4.5
anthropic,neutral,-0.2552108571320506,,Claude Sonnet 4.5
anthropic,popular,-0.3938858347603666,,Claude Sonnet 4.5
gemini,controversial,-0.2506743342633211,,Gemini 2.0 Flash
gemini,engaging,-0.1875500232901563,,Gemini 2.0 Flash
gemini,general,-0.2367879325353961,,Gemini 2.0 Flash
gemini,informative,-0.0673806892000739,,Gemini 2.0 Flash
gemini,neutral,-0.171744265615013,,Gemini 2.0 Flash
gemini,popular,-0.2411123004147439,,Gemini 2.0 Flash
openai,controversial,-0.2572236620543124,,GPT-4o-mini
openai,engaging,-0.1883489391400035,,GPT-4o-mini
openai,general,-0.1920205691443088,,GPT-4o-mini
openai,informative,-0.161065193338957,,GPT-4o-mini
openai,neutral,-0.1840243029270079,,GPT-4o-mini
openai,popular,-0.2325497671046461,,GPT-4o-mini
