provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.0229962360620881,,Claude Sonnet 4.5
anthropic,engaging,0.0112998212863702,,Claude Sonnet 4.5
anthropic,general,-0.0133541455843982,,Claude Sonnet 4.5
anthropic,informative,-0.0320992031718291,,Claude Sonnet 4.5
anthropic,neutral,-0.0020189384348327,,Claude Sonnet 4.5
anthropic,popular,0.0020953973623048,,Claude Sonnet 4.5
gemini,controversial,0.05926722371216,,Gemini 2.0 Flash
gemini,engaging,0.045794289644782,,Gemini 2.0 Flash
gemini,general,-0.0021761734952412,,Gemini 2.0 Flash
gemini,informative,-0.0243860666546201,,Gemini 2.0 Flash
gemini,neutral,-0.0085689082907669,,Gemini 2.0 Flash
gemini,popular,0.0203387182286262,,Gemini 2.0 Flash
openai,controversial,0.0414676508622796,,GPT-4o-mini
openai,engaging,0.0241837622480206,,GPT-4o-mini
openai,general,-0.0019114279745108,,GPT-4o-mini
openai,informative,-0.0264749517431906,,GPT-4o-mini
openai,neutral,0.0206586226686883,,GPT-4o-mini
openai,popular,0.0226924306732397,,GPT-4o-mini
