provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,70.42043398421356,,Claude Sonnet 4.5
anthropic,engaging,812.6864424722551,,Claude Sonnet 4.5
anthropic,general,565.5080758715217,,Claude Sonnet 4.5
anthropic,informative,467.1818184081049,,Claude Sonnet 4.5
anthropic,neutral,802.8362904931728,,Claude Sonnet 4.5
anthropic,popular,660.1856712946114,,Claude Sonnet 4.5
gemini,controversial,441.3469777993844,,Gemini 2.0 Flash
gemini,engaging,1105.242385434044,,Gemini 2.0 Flash
gemini,general,470.6127081706329,,Gemini 2.0 Flash
gemini,informative,216.51782239804197,,Gemini 2.0 Flash
gemini,neutral,1361.688585186234,,Gemini 2.0 Flash
gemini,popular,717.7722492818511,,Gemini 2.0 Flash
openai,controversial,666.5689780621753,,GPT-4o-mini
openai,engaging,1078.8987681009753,,GPT-4o-mini
openai,general,928.9973495186764,,GPT-4o-mini
openai,informative,731.5363167496873,,GPT-4o-mini
openai,neutral,1112.156581915737,,GPT-4o-mini
openai,popular,799.6328342098363,,GPT-4o-mini
