provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-900.2317617990066,,Claude Sonnet 4.5
anthropic,engaging,2846.8499138392417,,Claude Sonnet 4.5
anthropic,general,1166.8165535881851,,Claude Sonnet 4.5
anthropic,informative,-1644.072844602275,,Claude Sonnet 4.5
anthropic,neutral,3269.6815287373774,,Claude Sonnet 4.5
anthropic,popular,1924.2623711991016,,Claude Sonnet 4.5
gemini,controversial,2368.207397504457,,Gemini 2.0 Flash
gemini,engaging,5450.350487163569,,Gemini 2.0 Flash
gemini,general,4320.490494725156,,Gemini 2.0 Flash
gemini,informative,-1397.205171555137,,Gemini 2.0 Flash
gemini,neutral,8996.677731907661,,Gemini 2.0 Flash
gemini,popular,1786.7280138921142,,Gemini 2.0 Flash
openai,controversial,1432.4833506098275,,GPT-4o-mini
openai,engaging,15915.10137574597,,GPT-4o-mini
openai,general,5644.173503069238,,GPT-4o-mini
openai,informative,1064.914464875059,,GPT-4o-mini
openai,neutral,10027.2963687851,,GPT-4o-mini
openai,popular,15821.59967783345,,GPT-4o-mini
