provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,1.104839971926586,,Claude Sonnet 4.5
anthropic,engaging,10.420280713516949,,Claude Sonnet 4.5
anthropic,general,7.387641833045658,,Claude Sonnet 4.5
anthropic,informative,0.9322473718709292,,Claude Sonnet 4.5
anthropic,neutral,1.6243091618177643,,Claude Sonnet 4.5
anthropic,popular,11.255030457689733,,Claude Sonnet 4.5
gemini,controversial,-0.4453249068222327,,Gemini 2.0 Flash
gemini,engaging,8.773731620449832,,Gemini 2.0 Flash
gemini,general,1.352956813940056,,Gemini 2.0 Flash
gemini,informative,1.0016331863465624,,Gemini 2.0 Flash
gemini,neutral,7.198568899589294,,Gemini 2.0 Flash
gemini,popular,5.610538799870924,,Gemini 2.0 Flash
openai,controversial,1.0685311990218849,,GPT-4o-mini
openai,engaging,2.118943388549332,,GPT-4o-mini
openai,general,1.2694524637652598,,GPT-4o-mini
openai,informative,2.5545452309206076,,GPT-4o-mini
openai,neutral,8.41830782675853,,GPT-4o-mini
openai,popular,3.033079906690408,,GPT-4o-mini
