provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.3234161114476075,,Claude Sonnet 4.5
anthropic,engaging,4.482128258964542,,Claude Sonnet 4.5
anthropic,general,2.235804745035648,,Claude Sonnet 4.5
anthropic,informative,0.7917795773420842,,Claude Sonnet 4.5
anthropic,neutral,0.5003619917591011,,Claude Sonnet 4.5
anthropic,popular,5.385075212149209,,Claude Sonnet 4.5
gemini,controversial,-0.3264867930643331,,Gemini 2.0 Flash
gemini,engaging,3.4815935799625626,,Gemini 2.0 Flash
gemini,general,0.4983334123538604,,Gemini 2.0 Flash
gemini,informative,0.4290819073196992,,Gemini 2.0 Flash
gemini,neutral,3.176898456309305,,Gemini 2.0 Flash
gemini,popular,1.683228905862766,,Gemini 2.0 Flash
openai,controversial,0.1197169645200623,,GPT-4o-mini
openai,engaging,0.4204254488207791,,GPT-4o-mini
openai,general,0.5797065749672384,,GPT-4o-mini
openai,informative,0.7992899165692968,,GPT-4o-mini
openai,neutral,4.535752562513126,,GPT-4o-mini
openai,popular,1.0031675569726834,,GPT-4o-mini
