provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,18-24,-0.0141203104786546,,Claude Sonnet 4.5
anthropic,controversial,25-34,0.0261254851228978,,Claude Sonnet 4.5
anthropic,controversial,35-44,-0.0320569210866752,,Claude Sonnet 4.5
anthropic,controversial,45-54,0.0564036222509702,,Claude Sonnet 4.5
anthropic,controversial,55-64,0.0139909443725743,,Claude Sonnet 4.5
anthropic,controversial,65+,-0.0503428201811125,,Claude Sonnet 4.5
anthropic,engaging,18-24,0.0107853403141361,,Claude Sonnet 4.5
anthropic,engaging,25-34,0.0429319371727748,,Claude Sonnet 4.5
anthropic,engaging,35-44,-0.0674083769633507,,Claude Sonnet 4.5
anthropic,engaging,45-54,-0.0051570680628272,,Claude Sonnet 4.5
anthropic,engaging,55-64,0.0129319371727748,,Claude Sonnet 4.5
anthropic,engaging,65+,0.0059162303664921,,Claude Sonnet 4.5
anthropic,general,18-24,-0.0130243572395128,,Claude Sonnet 4.5
anthropic,general,25-34,-0.0322665764546684,,Claude Sonnet 4.5
anthropic,general,35-44,0.0182611637347767,,Claude Sonnet 4.5
anthropic,general,45-54,0.0413802435723951,,Claude Sonnet 4.5
anthropic,general,55-64,0.0165629228687415,,Claude Sonnet 4.5
anthropic,general,65+,-0.030913396481732,,Claude Sonnet 4.5
anthropic,informative,18-24,-0.0208108108108107,,Claude Sonnet 4.5
anthropic,informative,25-34,-0.0178378378378378,,Claude Sonnet 4.5
anthropic,informative,35-44,0.007027027027027,,Claude Sonnet 4.5
anthropic,informative,45-54,0.0209459459459459,,Claude Sonnet 4.5
anthropic,informative,55-64,0.0186486486486486,,Claude Sonnet 4.5
anthropic,informative,65+,-0.0079729729729729,,Claude Sonnet 4.5
anthropic,neutral,18-24,-0.0284262948207171,,Claude Sonnet 4.5
anthropic,neutral,25-34,-0.0279548472775564,,Claude Sonnet 4.5
anthropic,neutral,35-44,0.0336852589641434,,Claude Sonnet 4.5
anthropic,neutral,45-54,0.0083731739707835,,Claude Sonnet 4.5
anthropic,neutral,55-64,0.0205577689243028,,Claude Sonnet 4.5
anthropic,neutral,65+,-0.0062350597609561,,Claude Sonnet 4.5
anthropic,popular,18-24,-0.0091541609822646,,Claude Sonnet 4.5
anthropic,popular,25-34,0.0481173260572987,,Claude Sonnet 4.5
anthropic,popular,35-44,-0.0505525238744883,,Claude Sonnet 4.5
anthropic,popular,45-54,0.0212755798090041,,Claude Sonnet 4.5
anthropic,popular,55-64,-0.0073465211459754,,Claude Sonnet 4.5
anthropic,popular,65+,-0.0023396998635743,,Claude Sonnet 4.5
gemini,controversial,18-24,-0.0100387596899224,,Gemini 2.0 Flash
gemini,controversial,25-34,-0.0240826873385012,,Gemini 2.0 Flash
gemini,controversial,35-44,0.0105813953488372,,Gemini 2.0 Flash
gemini,controversial,45-54,-0.0171705426356588,,Gemini 2.0 Flash
gemini,controversial,55-64,0.0327131782945736,,Gemini 2.0 Flash
gemini,controversial,65+,0.0079974160206718,,Gemini 2.0 Flash
gemini,engaging,18-24,0.0289743589743589,,Gemini 2.0 Flash
gemini,engaging,25-34,-0.0255128205128205,,Gemini 2.0 Flash
gemini,engaging,35-44,0.0357692307692307,,Gemini 2.0 Flash
gemini,engaging,45-54,-0.0269230769230769,,Gemini 2.0 Flash
gemini,engaging,55-64,-0.0226923076923076,,Gemini 2.0 Flash
gemini,engaging,65+,0.0103846153846153,,Gemini 2.0 Flash
gemini,general,18-24,0.0334615384615384,,Gemini 2.0 Flash
gemini,general,25-34,-0.0642307692307692,,Gemini 2.0 Flash
gemini,general,35-44,-0.0166666666666666,,Gemini 2.0 Flash
gemini,general,45-54,-0.0214102564102564,,Gemini 2.0 Flash
gemini,general,55-64,0.0385897435897436,,Gemini 2.0 Flash
gemini,general,65+,0.0302564102564102,,Gemini 2.0 Flash
gemini,informative,18-24,-0.0347402597402597,,Gemini 2.0 Flash
gemini,informative,25-34,-0.0114285714285714,,Gemini 2.0 Flash
gemini,informative,35-44,0.0231818181818181,,Gemini 2.0 Flash
gemini,informative,45-54,0.0081818181818181,,Gemini 2.0 Flash
gemini,informative,55-64,0.0321428571428571,,Gemini 2.0 Flash
gemini,informative,65+,-0.0173376623376623,,Gemini 2.0 Flash
gemini,neutral,18-24,0.0276562499999999,,Gemini 2.0 Flash
gemini,neutral,25-34,-0.0229166666666666,,Gemini 2.0 Flash
gemini,neutral,35-44,-0.0066666666666666,,Gemini 2.0 Flash
gemini,neutral,45-54,0.0078645833333333,,Gemini 2.0 Flash
gemini,neutral,55-64,0.0343749999999999,,Gemini 2.0 Flash
gemini,neutral,65+,-0.0403125,,Gemini 2.0 Flash
gemini,popular,18-24,0.0228645833333333,,Gemini 2.0 Flash
gemini,popular,25-34,0.0361458333333333,,Gemini 2.0 Flash
gemini,popular,35-44,-0.0396874999999999,,Gemini 2.0 Flash
gemini,popular,45-54,-0.0309895833333333,,Gemini 2.0 Flash
gemini,popular,55-64,-0.0190625,,Gemini 2.0 Flash
gemini,popular,65+,0.0307291666666666,,Gemini 2.0 Flash
openai,controversial,18-24,0.0184455958549222,,GPT-4o-mini
openai,controversial,25-34,0.002901554404145,,GPT-4o-mini
openai,controversial,35-44,-0.0665284974093264,,GPT-4o-mini
openai,controversial,45-54,0.0016062176165803,,GPT-4o-mini
openai,controversial,55-64,0.0034455958549222,,GPT-4o-mini
openai,controversial,65+,0.0401295336787564,,GPT-4o-mini
openai,engaging,18-24,-0.0256692913385826,,GPT-4o-mini
openai,engaging,25-34,-0.0395406824146981,,GPT-4o-mini
openai,engaging,35-44,0.036522309711286,,GPT-4o-mini
openai,engaging,45-54,0.0257086614173228,,GPT-4o-mini
openai,engaging,55-64,0.0267060367454068,,GPT-4o-mini
openai,engaging,65+,-0.0237270341207349,,GPT-4o-mini
openai,general,18-24,-0.025596919127086,,GPT-4o-mini
openai,general,25-34,0.0072400513478819,,GPT-4o-mini
openai,general,35-44,0.01298459563543,,GPT-4o-mini
openai,general,45-54,0.0608215661103979,,GPT-4o-mini
openai,general,55-64,-0.0545827984595635,,GPT-4o-mini
openai,general,65+,-0.0008664955070603,,GPT-4o-mini
openai,informative,18-24,-0.0122164948453608,,GPT-4o-mini
openai,informative,25-34,0.0173195876288659,,GPT-4o-mini
openai,informative,35-44,-0.0229896907216494,,GPT-4o-mini
openai,informative,45-54,0.026340206185567,,GPT-4o-mini
openai,informative,55-64,-0.0246391752577319,,GPT-4o-mini
openai,informative,65+,0.0161855670103092,,GPT-4o-mini
openai,neutral,18-24,0.0092105263157894,,GPT-4o-mini
openai,neutral,25-34,0.0334210526315789,,GPT-4o-mini
openai,neutral,35-44,-0.0357894736842105,,GPT-4o-mini
openai,neutral,45-54,0.02,,GPT-4o-mini
openai,neutral,55-64,-0.0194736842105263,,GPT-4o-mini
openai,neutral,65+,-0.0073684210526315,,GPT-4o-mini
openai,popular,18-24,0.0056687898089172,,GPT-4o-mini
openai,popular,25-34,0.0556687898089172,,GPT-4o-mini
openai,popular,35-44,-0.0016878980891719,,GPT-4o-mini
openai,popular,45-54,-0.0569745222929936,,GPT-4o-mini
openai,popular,55-64,0.0497770700636942,,GPT-4o-mini
openai,popular,65+,-0.052452229299363,,GPT-4o-mini
