provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,Middle Eastern,-0.0014232849416453,,Claude Sonnet 4.5
anthropic,controversial,Mixed,0.0081727211018415,,Claude Sonnet 4.5
anthropic,controversial,asian,0.003462742779566,,Claude Sonnet 4.5
anthropic,controversial,black,-0.0335706934682169,,Claude Sonnet 4.5
anthropic,controversial,hispanic,-0.0247051610501653,,Claude Sonnet 4.5
anthropic,controversial,native american,-0.0035787952440386,,Claude Sonnet 4.5
anthropic,controversial,other,0.0090135540519827,,Claude Sonnet 4.5
anthropic,controversial,white,0.0426289167706759,,Claude Sonnet 4.5
anthropic,engaging,Middle Eastern,-0.0014335775724753,,Claude Sonnet 4.5
anthropic,engaging,Mixed,-0.0067525933922185,,Claude Sonnet 4.5
anthropic,engaging,asian,0.0159184940637916,,Claude Sonnet 4.5
anthropic,engaging,black,-0.0028925192208967,,Claude Sonnet 4.5
anthropic,engaging,hispanic,0.0079460577124038,,Claude Sonnet 4.5
anthropic,engaging,native american,-0.00547120027542,,Claude Sonnet 4.5
anthropic,engaging,other,-0.0025526406032185,,Claude Sonnet 4.5
anthropic,engaging,white,-0.0047620207119661,,Claude Sonnet 4.5
anthropic,general,Middle Eastern,-0.0009889799378355,,Claude Sonnet 4.5
anthropic,general,Mixed,0.0092352969977837,,Claude Sonnet 4.5
anthropic,general,asian,0.0178618094468968,,Claude Sonnet 4.5
anthropic,general,black,-0.0262912927882037,,Claude Sonnet 4.5
anthropic,general,hispanic,-0.006048026729889,,Claude Sonnet 4.5
anthropic,general,native american,-0.0013429244428766,,Claude Sonnet 4.5
anthropic,general,other,0.0016390580120942,,Claude Sonnet 4.5
anthropic,general,white,0.00593505944203,,Claude Sonnet 4.5
anthropic,informative,Middle Eastern,-0.0007495128166691,,Claude Sonnet 4.5
anthropic,informative,Mixed,0.0182006037487645,,Claude Sonnet 4.5
anthropic,informative,asian,0.0079010813677116,,Claude Sonnet 4.5
anthropic,informative,black,-0.0310421513687336,,Claude Sonnet 4.5
anthropic,informative,hispanic,-0.0190548430137902,,Claude Sonnet 4.5
anthropic,informative,native american,0.004713322009819,,Claude Sonnet 4.5
anthropic,informative,other,0.001710847906711,,Claude Sonnet 4.5
anthropic,informative,white,0.0183206521661868,,Claude Sonnet 4.5
anthropic,neutral,Middle Eastern,-0.0004731114966093,,Claude Sonnet 4.5
