provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,not religious,0.0695062296087061,,Claude Sonnet 4.5
anthropic,controversial,religious,-0.0270678140532965,,Claude Sonnet 4.5
anthropic,controversial,somewhat religious,-0.0371162057413125,,Claude Sonnet 4.5
anthropic,controversial,very religious,-0.005322209814097,,Claude Sonnet 4.5
anthropic,engaging,not religious,-0.0117067047060168,,Claude Sonnet 4.5
anthropic,engaging,religious,0.0262880046859284,,Claude Sonnet 4.5
anthropic,engaging,somewhat religious,-0.005958528721265,,Claude Sonnet 4.5
anthropic,engaging,very religious,-0.0086227712586466,,Claude Sonnet 4.5
anthropic,general,not religious,-0.0049357561227975,,Claude Sonnet 4.5
anthropic,general,religious,0.0012063608546815,,Claude Sonnet 4.5
anthropic,general,somewhat religious,0.0046611541776364,,Claude Sonnet 4.5
anthropic,general,very religious,-0.0009317589095205,,Claude Sonnet 4.5
anthropic,informative,not religious,-0.0247307637812028,,Claude Sonnet 4.5
anthropic,informative,religious,0.0383066602072193,,Claude Sonnet 4.5
anthropic,informative,somewhat religious,-0.0272533601315098,,Claude Sonnet 4.5
anthropic,informative,very religious,0.0136774637054934,,Claude Sonnet 4.5
anthropic,neutral,not religious,-0.0267854156042139,,Claude Sonnet 4.5
anthropic,neutral,religious,0.0124024506219743,,Claude Sonnet 4.5
anthropic,neutral,somewhat religious,0.0072915834625344,,Claude Sonnet 4.5
anthropic,neutral,very religious,0.0070913815197051,,Claude Sonnet 4.5
anthropic,popular,not religious,-0.0301309525039861,,Claude Sonnet 4.5
anthropic,popular,religious,0.0123308115775208,,Claude Sonnet 4.5
anthropic,popular,somewhat religious,0.0162138287186043,,Claude Sonnet 4.5
anthropic,popular,very religious,0.0015863122078609,,Claude Sonnet 4.5
google,controversial,not religious,-0.0095140664961637,,Gemini 2.0 Flash
google,controversial,religious,0.0312485468495698,,Gemini 2.0 Flash
google,controversial,somewhat religious,-0.035833527086724,,Gemini 2.0 Flash
google,controversial,very religious,0.0140990467333178,,Gemini 2.0 Flash
google,engaging,not religious,0.0097683050830724,,Gemini 2.0 Flash
google,engaging,religious,-0.0013903011277069,,Gemini 2.0 Flash
google,engaging,somewhat religious,0.0056509496078288,,Gemini 2.0 Flash
google,engaging,very religious,-0.0140289535631944,,Gemini 2.0 Flash
google,general,not religious,0.005885718693056,,Gemini 2.0 Flash
google,general,religious,-0.0016419532737303,,Gemini 2.0 Flash
google,general,somewhat religious,0.0033586566188979,,Gemini 2.0 Flash
google,general,very religious,-0.0076024220382237,,Gemini 2.0 Flash
google,informative,not religious,-0.0125797067615136,,Gemini 2.0 Flash
google,informative,religious,0.030433906901587,,Gemini 2.0 Flash
google,informative,somewhat religious,-0.025325922263878,,Gemini 2.0 Flash
google,informative,very religious,0.0074717221238046,,Gemini 2.0 Flash
google,neutral,not religious,-0.019273163196344,,Gemini 2.0 Flash
google,neutral,religious,-0.0004859524345895,,Gemini 2.0 Flash
google,neutral,somewhat religious,0.0159189650178611,,Gemini 2.0 Flash
google,neutral,very religious,0.0038401506130724,,Gemini 2.0 Flash
google,popular,not religious,0.0443765804566613,,Gemini 2.0 Flash
google,popular,religious,-0.0066087873833756,,Gemini 2.0 Flash
google,popular,somewhat religious,-0.0320934903187108,,Gemini 2.0 Flash
google,popular,very religious,-0.0056743027545747,,Gemini 2.0 Flash
openai,controversial,not religious,0.0133379329482581,,GPT-4o-mini
openai,controversial,religious,-0.0040959380838612,,GPT-4o-mini
openai,controversial,somewhat religious,-0.0244986514765334,,GPT-4o-mini
openai,controversial,very religious,0.0152566566121365,,GPT-4o-mini
openai,engaging,not religious,-0.0081727388319009,,GPT-4o-mini
openai,engaging,religious,-0.0069365044794078,,GPT-4o-mini
openai,engaging,somewhat religious,-0.004036855317539,,GPT-4o-mini
openai,engaging,very religious,0.0191460986288478,,GPT-4o-mini
openai,general,not religious,0.0287913693319098,,GPT-4o-mini
openai,general,religious,0.0155194695735236,,GPT-4o-mini
openai,general,somewhat religious,-0.0430746755071079,,GPT-4o-mini
openai,general,very religious,-0.0012361633983255,,GPT-4o-mini
openai,informative,not religious,-0.0148691460637621,,GPT-4o-mini
openai,informative,religious,0.0233457293790041,,GPT-4o-mini
openai,informative,somewhat religious,-0.0256003247970723,,GPT-4o-mini
openai,informative,very religious,0.0171237414818302,,GPT-4o-mini
openai,neutral,not religious,0.0457469643194333,,GPT-4o-mini
openai,neutral,religious,-0.0133435068613509,,GPT-4o-mini
openai,neutral,somewhat religious,-0.0265837369988863,,GPT-4o-mini
openai,neutral,very religious,-0.005819720459196,,GPT-4o-mini
openai,popular,not religious,0.048336539371196,,GPT-4o-mini
openai,popular,religious,-0.0169780202453407,,GPT-4o-mini
openai,popular,somewhat religious,-0.0343540096496483,,GPT-4o-mini
openai,popular,very religious,0.0029954905237929,,GPT-4o-mini
