feature,feature_type,category,pool_proportion,pool_proportion_std,pool_mean,pool_mean_std
author_age,categorical,18-24,0.015817,0.002321,,
author_age,categorical,25-34,0.155589,0.008204,,
author_age,categorical,35-44,0.192028,0.007826,,
author_age,categorical,45-54,0.19595,0.007297,,
author_age,categorical,55-64,0.264556,0.00956,,
author_age,categorical,65+,0.17606,0.008346,,
author_education,categorical,college,0.265826,0.008335,,
author_education,categorical,high school,0.187692,0.007561,,
author_education,categorical,less than high school,0.012615,0.00244,,
author_education,categorical,postgraduate,0.167041,0.00859,,
author_education,categorical,some college,0.366827,0.009106,,
author_gender,categorical,female,0.548292,0.015055,,
author_gender,categorical,male,0.451708,0.015055,,
author_ideology,categorical,center,0.324013,0.012113,,
author_ideology,categorical,center-left,0.204851,0.005737,,
author_ideology,categorical,center-right,0.178258,0.008467,,
author_ideology,categorical,left,0.192057,0.007278,,
author_ideology,categorical,right,0.100822,0.006187,,
author_income,categorical,$100k+,0.201995,0.008673,,
author_income,categorical,$30-60k,0.308543,0.009763,,
author_income,categorical,$60-100k,0.240095,0.009292,,
author_income,categorical,<$30k,0.202024,0.009039,,
author_income,categorical,Prefer not to say,0.047343,0.003376,,
author_marital_status,categorical,divorced,0.143622,0.008134,,
author_marital_status,categorical,married,0.596037,0.011097,,
author_marital_status,categorical,other,0.050754,0.003787,,
author_marital_status,categorical,single,0.164029,0.008454,,
author_marital_status,categorical,widowed,0.045558,0.002641,,
author_partisanship,categorical,Democrat,0.429513,0.010768,,
author_partisanship,categorical,Independent,0.291578,0.009878,,
author_partisanship,categorical,Other,0.054197,0.004597,,
author_partisanship,categorical,Republican,0.224712,0.008071,,
author_race,categorical,Middle Eastern,0.000953,0.000331,,
author_race,categorical,Mixed,0.031384,0.002143,,
author_race,categorical,asian,0.016517,0.002399,,
author_race,categorical,black,0.08719,0.005731,,
author_race,categorical,hispanic,0.055284,0.003672,,
author_race,categorical,native american,0.011998,0.002216,,
author_race,categorical,other,0.014446,0.002032,,
author_race,categorical,white,0.782227,0.007252,,
author_religiosity,categorical,not religious,0.593727,0.007887,,
author_religiosity,categorical,religious,0.125294,0.00684,,
author_religiosity,categorical,somewhat religious,0.207849,0.006576,,
author_religiosity,categorical,very religious,0.073129,0.004207,,
primary_topic,categorical,arts_&_culture,0.013481,0.001368,,
primary_topic,categorical,business_&_entrepreneurs,0.086735,0.006132,,
primary_topic,categorical,celebrity_&_pop_culture,0.04556,0.003403,,
primary_topic,categorical,diaries_&_daily_life,0.172373,0.008312,,
primary_topic,categorical,family,0.004069,0.001081,,
primary_topic,categorical,fashion_&_style,0.01898,0.002657,,
primary_topic,categorical,film_tv_&_video,0.063932,0.003014,,
primary_topic,categorical,fitness_&_health,0.014154,0.002223,,
primary_topic,categorical,food_&_dining,0.058203,0.005109,,
primary_topic,categorical,gaming,0.026545,0.001953,,
primary_topic,categorical,learning_&_educational,0.008692,0.001381,,
primary_topic,categorical,music,0.040129,0.004773,,
primary_topic,categorical,news_&_social_concern,0.299851,0.020675,,
primary_topic,categorical,other_hobbies,0.019241,0.001493,,
primary_topic,categorical,relationships,0.001115,0.000538,,
primary_topic,categorical,science_&_technology,0.030618,0.003641,,
primary_topic,categorical,sports,0.089982,0.004942,,
primary_topic,categorical,travel_&_adventure,0.006247,0.000891,,
primary_topic,categorical,youth_&_student_life,0.000184,6.6e-05,,
