feature,feature_display,neutral,general,popular,engaging,informative,controversial,average
primary_topic,Content: Primary Topic,0.011870084822643586,0.017414341920494365,0.010475600502512764,0.017897941919749236,0.014269174991345626,0.016022349258856088,0.014658248902600278
author_age,Author: Age,0.003636315597245214,0.008912792278024223,0.005094915750940529,0.005727091655068302,0.004849189773012077,0.007864399886421538,0.006014117490118647
author_income,Author: Income,0.004591723552608013,0.008649050787321283,0.0039931751103472355,0.002716429959222545,0.0024377949403352685,0.004465662038457379,0.004475639398048621
author_ideology,Author: Ideology,0.001985786439310461,0.004448858237601334,0.0033275933962762148,0.004600033660831463,0.005518668131463053,0.006854207362217514,0.00445585787128334
author_race,Author: Race,0.005118658294167849,0.0038228696951045534,0.002903812212067767,0.0049466365753631685,0.002634400839991557,0.006062270715786207,0.004248108055413517
author_religiosity,Author: Religiosity,0.0018940848414597377,0.0009469859293781344,0.004031550817258788,0.011262992675433833,0.0010548409903051645,0.002226336430146079,0.003569465280663623
sentiment_polarity,Sentiment: Polarity,0.003053290723444025,0.0019542015882429184,0.00032282734518841873,0.003837102871270938,0.0014876984459321532,0.0031220078279261786,0.0022961881336674385
author_marital_status,Author: Marital Status,0.000636003573876705,0.00029297359894743893,0.0006322973267802551,0.003809055483330511,0.005299111405023117,0.001935487931091032,0.0021008215531748433
author_education,Author: Education,0.0014339224312519758,0.0004362910155651267,0.003149272406288254,0.0024969304810873024,0.0023755800452977664,0.0013527191077093387,0.0018741192478666274
Retweet Count,Retweet Count,0.0015095544998536426,0.0017142794998475785,0.00041164464250374706,0.002548058461090344,0.001140591488515898,0.0032242910036062917,0.0017580699325695835
author_gender,Author: Gender,0.002804630938976368,0.0019447742810539412,0.0013452993003771705,0.0023032740116003827,0.0011659140503507096,0.0005041049383485602,0.0016779995867845221
User Followers Count,User Followers Count,0.0015613846802016629,0.0009286768176777375,0.0023630588940215373,0.00010867874743668362,0.0035356248604144053,0.0015396227575825542,0.0016728411262224303
User Statuses Count,User Statuses Count,0.0002372807719646626,0.0028967329932202465,0.00023899011202976168,0.002209511439363003,0.0028115162464151917,0.0014948195670088013,0.001648141855000278
Retweeted,Retweeted,0.0009992394728010195,0.001907115318302788,0.002091137797485322,0.0010195530725919451,0.0013945130161489231,0.002107572919971812,0.001586521932883635
polarization_score,Content: Polarization Score,0.0005237945056832279,0.00041549650806717975,0.0010675237933719492,0.0021396922025701225,0.0041226152561946025,0.0012266557031012186,0.0015826296614980502
author_partisanship,Author: Partisanship,0.0009923177708893907,0.0006593271449354072,0.002711511849387871,0.0017344941172032233,0.0008217086169236073,0.001502142598607206,0.0014035836829911176
sentiment_subjectivity,Sentiment: Subjectivity,0.0005958546472979428,0.0038330204262697516,0.0017017462138687585,0.0011686953168957466,0.000547152661067012,0.0004223912623762048,0.0013781434212959028
User Favourites Count,User Favourites Count,0.001020498540668193,0.0015449258144769737,0.0009756982150779841,0.0024291411014819623,0.0003854925924831611,0.0010642847526495603,0.0012366735028063057
toxicity,Toxicity: Toxicity,0.0012146867248453378,0.0019622655887264807,0.0016313509902026535,0.0015653289188575954,0.0007636667982591958,0.0001299717967863038,0.0012112118029462611
User Friends Count,User Friends Count,0.0003921526503542308,0.00034381865128584456,0.000512795545028445,0.002556093986028344,0.0008518756439124144,0.0011190733303767673,0.0009626349678310077
Favorite Count,Favorite Count,0.0010109249580794487,0.0010574880262699906,0.0003506817934432838,0.001346460338450423,0.0003276767230567788,0.0015874722934065505,0.0009467840221177458
Mean Across Features,Mean Across Features,0.0022420090684582236,0.003146966005753014,0.0023491659054504146,0.0037344379521393844,0.0027521336912594133,0.0031346592134492,0.0028932286394182747
