provider,prompt_style,category,directional_bias,category_display
anthropic,controversial,diaries_&_daily_life,-0.1114711400078392,"Diaries &
Daily Life"
anthropic,controversial,news_&_social_concern,0.4617206784813459,"News &
Social Concern"
anthropic,controversial,sports,-0.0551827106341089,Sports
anthropic,engaging,diaries_&_daily_life,0.0062557719771192,"Diaries &
Daily Life"
anthropic,engaging,news_&_social_concern,0.1699826042537816,"News &
Social Concern"
anthropic,engaging,sports,-0.0121435390454298,Sports
anthropic,general,diaries_&_daily_life,-0.0270694808413734,"Diaries &
Daily Life"
anthropic,general,news_&_social_concern,0.1276879737702196,"News &
Social Concern"
anthropic,general,sports,0.0023542414440514,Sports
anthropic,informative,diaries_&_daily_life,-0.1098411625119171,"Diaries &
Daily Life"
anthropic,informative,news_&_social_concern,0.2302984530680982,"News &
Social Concern"
anthropic,informative,sports,-0.0565851166992484,Sports
anthropic,neutral,diaries_&_daily_life,-0.0571104903037397,"Diaries &
Daily Life"
anthropic,neutral,news_&_social_concern,0.3149655472021432,"News &
Social Concern"
anthropic,neutral,sports,-0.0474235823669253,Sports
anthropic,popular,diaries_&_daily_life,0.0875184375493862,"Diaries &
Daily Life"
anthropic,popular,news_&_social_concern,-0.0073401201074645,"News &
Social Concern"
anthropic,popular,sports,0.0016369909919401,Sports
google,controversial,diaries_&_daily_life,-0.1015025197636413,"Diaries &
Daily Life"
google,controversial,news_&_social_concern,0.4390023990081952,"News &
Social Concern"
google,controversial,sports,-0.0491434413692057,Sports
google,engaging,diaries_&_daily_life,-0.0208540940043182,"Diaries &
Daily Life"
google,engaging,news_&_social_concern,0.173228669893468,"News &
Social Concern"
google,engaging,sports,-0.0246381711628348,Sports
google,general,diaries_&_daily_life,-0.0025935593156754,"Diaries &
Daily Life"
google,general,news_&_social_concern,0.0534144803574855,"News &
Social Concern"
google,general,sports,-0.0183964516934246,Sports
google,informative,diaries_&_daily_life,-0.107051236135098,"Diaries &
Daily Life"
google,informative,news_&_social_concern,0.2172243136193728,"News &
Social Concern"
google,informative,sports,-0.0694800379900302,Sports
google,neutral,diaries_&_daily_life,-0.0727248195372057,"Diaries &
Daily Life"
google,neutral,news_&_social_concern,0.3001113134992916,"News &
Social Concern"
google,neutral,sports,-0.0391890980233421,Sports
google,popular,diaries_&_daily_life,0.0468594508607891,"Diaries &
Daily Life"
google,popular,news_&_social_concern,-0.0030175694371769,"News &
Social Concern"
google,popular,sports,-0.0063236638791954,Sports
openai,controversial,diaries_&_daily_life,-0.0948983277145852,"Diaries &
Daily Life"
openai,controversial,news_&_social_concern,0.3959804872769646,"News &
Social Concern"
openai,controversial,sports,-0.0408387979276697,Sports
openai,engaging,diaries_&_daily_life,-0.0653584391709205,"Diaries &
Daily Life"
openai,engaging,news_&_social_concern,-0.0279059298208309,"News &
Social Concern"
openai,engaging,sports,-0.008570859481509,Sports
openai,general,diaries_&_daily_life,-0.039374545811209,"Diaries &
Daily Life"
openai,general,news_&_social_concern,0.0199252343948533,"News &
Social Concern"
openai,general,sports,-0.0359795542596778,Sports
openai,informative,diaries_&_daily_life,-0.0919128034600421,"Diaries &
Daily Life"
openai,informative,news_&_social_concern,0.2317857101061117,"News &
Social Concern"
openai,informative,sports,-0.0394286984884885,Sports
openai,neutral,diaries_&_daily_life,-0.0946589200853457,"Diaries &
Daily Life"
openai,neutral,news_&_social_concern,0.1725038793521482,"News &
Social Concern"
openai,neutral,sports,-0.0209563815342837,Sports
openai,popular,diaries_&_daily_life,-0.038708233366356,"Diaries &
Daily Life"
openai,popular,news_&_social_concern,-0.0681350879758827,"News &
Social Concern"
openai,popular,sports,-0.0152282790248144,Sports
