provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.3568729301465829,,Claude Sonnet 4.5
anthropic,engaging,-0.4618892194567223,,Claude Sonnet 4.5
anthropic,general,-0.3123749622068779,,Claude Sonnet 4.5
anthropic,informative,-0.2951361345699572,,Claude Sonnet 4.5
anthropic,neutral,-0.3559179938810315,,Claude Sonnet 4.5
anthropic,popular,-0.4094194913306559,,Claude Sonnet 4.5
gemini,controversial,-0.1843562994394574,,Gemini 2.0 Flash
gemini,engaging,-0.2250838748201342,,Gemini 2.0 Flash
gemini,general,-0.3209968313059299,,Gemini 2.0 Flash
gemini,informative,-0.1480811233219352,,Gemini 2.0 Flash
gemini,neutral,-0.2514179238229603,,Gemini 2.0 Flash
gemini,popular,-0.2835577189418803,,Gemini 2.0 Flash
openai,controversial,-0.2175142497389703,,GPT-4o-mini
openai,engaging,-0.2069748727527338,,GPT-4o-mini
openai,general,-0.1719192705283996,,GPT-4o-mini
openai,informative,-0.1809830079629115,,GPT-4o-mini
openai,neutral,-0.1665468736636626,,GPT-4o-mini
openai,popular,-0.2117442383266299,,GPT-4o-mini
