provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.0055627705570291,,Claude Sonnet 4.5
anthropic,engaging,0.022977275616083,,Claude Sonnet 4.5
anthropic,general,-0.0116257434554972,,Claude Sonnet 4.5
anthropic,informative,0.0198484322916667,,Claude Sonnet 4.5
anthropic,neutral,0.0003164540816326,,Claude Sonnet 4.5
anthropic,popular,0.0008758801089918,,Claude Sonnet 4.5
gemini,controversial,0.0342125401034928,,Gemini 2.0 Flash
gemini,engaging,0.0169658157894737,,Gemini 2.0 Flash
gemini,general,-0.0118013758212878,,Gemini 2.0 Flash
gemini,informative,0.0610984604221636,,Gemini 2.0 Flash
gemini,neutral,-0.020006537735849,,Gemini 2.0 Flash
gemini,popular,0.0304628848641655,,Gemini 2.0 Flash
openai,controversial,-0.009588889182058,,GPT-4o-mini
openai,engaging,0.0378071578947367,,GPT-4o-mini
openai,general,-0.012763269433465,,GPT-4o-mini
openai,informative,-0.0143207059973925,,GPT-4o-mini
openai,neutral,-0.0099614424552429,,GPT-4o-mini
openai,popular,-0.0104998067885118,,GPT-4o-mini
