provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.0967912007759046,,Claude Sonnet 4.5
anthropic,engaging,-0.0634829615353489,,Claude Sonnet 4.5
anthropic,general,-0.0987119930937846,,Claude Sonnet 4.5
anthropic,informative,-0.0192659630123885,,Claude Sonnet 4.5
anthropic,neutral,-0.0511691605968048,,Claude Sonnet 4.5
anthropic,popular,-0.0854389677145358,,Claude Sonnet 4.5
gemini,controversial,-0.0712334777275247,,Gemini 2.0 Flash
gemini,engaging,-0.0084089074313056,,Gemini 2.0 Flash
gemini,general,-0.0245649404625244,,Gemini 2.0 Flash
gemini,informative,-0.0332256513376464,,Gemini 2.0 Flash
gemini,neutral,-0.025005508805155,,Gemini 2.0 Flash
gemini,popular,-0.0115443060164549,,Gemini 2.0 Flash
openai,controversial,-0.0416351065436676,,GPT-4o-mini
openai,engaging,0.0658867533911232,,GPT-4o-mini
openai,general,0.0174317975768564,,GPT-4o-mini
openai,informative,-0.0176980025180618,,GPT-4o-mini
openai,neutral,0.0159536954301761,,GPT-4o-mini
openai,popular,0.0560631149672246,,GPT-4o-mini
