provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,104.65675005351522,,Claude Sonnet 4.5
anthropic,engaging,57.92400495896891,,Claude Sonnet 4.5
anthropic,general,105.30054353319495,,Claude Sonnet 4.5
anthropic,informative,465.5663317854219,,Claude Sonnet 4.5
anthropic,neutral,359.20837553483943,,Claude Sonnet 4.5
anthropic,popular,101.32449196743914,,Claude Sonnet 4.5
gemini,controversial,355.09802709360633,,Gemini 2.0 Flash
gemini,engaging,-26.507866188178017,,Gemini 2.0 Flash
gemini,general,101.16476149712751,,Gemini 2.0 Flash
gemini,informative,220.96619994754337,,Gemini 2.0 Flash
gemini,neutral,486.44953636704736,,Gemini 2.0 Flash
gemini,popular,-42.27741781995451,,Gemini 2.0 Flash
openai,controversial,233.14232319991535,,GPT-4o-mini
openai,engaging,-62.79033381279055,,GPT-4o-mini
openai,general,-27.253270301774364,,GPT-4o-mini
openai,informative,262.2092910425456,,GPT-4o-mini
openai,neutral,373.2948235788445,,GPT-4o-mini
openai,popular,217.0836497748828,,GPT-4o-mini
