provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,1092.853528040656,,Claude Sonnet 4.5
anthropic,engaging,744.8589852067416,,Claude Sonnet 4.5
anthropic,general,-3275.023592177675,,Claude Sonnet 4.5
anthropic,informative,-3295.575707581009,,Claude Sonnet 4.5
anthropic,neutral,1799.7434580377903,,Claude Sonnet 4.5
anthropic,popular,-1046.7456164393843,,Claude Sonnet 4.5
gemini,controversial,-198.7371667876669,,Gemini 2.0 Flash
gemini,engaging,303.03953620387256,,Gemini 2.0 Flash
gemini,general,-1834.8292638315015,,Gemini 2.0 Flash
gemini,informative,-2514.9424696916703,,Gemini 2.0 Flash
gemini,neutral,-276.5544895273142,,Gemini 2.0 Flash
gemini,popular,-985.2056235505332,,Gemini 2.0 Flash
openai,controversial,-392.7756389477818,,GPT-4o-mini
openai,engaging,-2784.423928920127,,GPT-4o-mini
openai,general,-2011.4672626406536,,GPT-4o-mini
openai,informative,-3392.092336798416,,GPT-4o-mini
openai,neutral,-888.4340593353754,,GPT-4o-mini
openai,popular,204.85278584429216,,GPT-4o-mini
