provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.1287379392542753,,Claude Sonnet 4.5
anthropic,engaging,-0.0276089160790415,,Claude Sonnet 4.5
anthropic,general,0.0248313155757071,,Claude Sonnet 4.5
anthropic,informative,1.1620007505752212,,Claude Sonnet 4.5
anthropic,neutral,-0.087159824060132,,Claude Sonnet 4.5
anthropic,popular,0.5924317184734759,,Claude Sonnet 4.5
gemini,controversial,0.6710798193382421,,Gemini 2.0 Flash
gemini,engaging,-0.6433626725174801,,Gemini 2.0 Flash
gemini,general,-0.2675352063857703,,Gemini 2.0 Flash
gemini,informative,0.1616448096986652,,Gemini 2.0 Flash
gemini,neutral,0.396544639188151,,Gemini 2.0 Flash
gemini,popular,2.0468468221370433,,Gemini 2.0 Flash
openai,controversial,0.29201300111687,,GPT-4o-mini
openai,engaging,-0.453567618061776,,GPT-4o-mini
openai,general,0.0136081054032096,,GPT-4o-mini
openai,informative,0.1504113093519703,,GPT-4o-mini
openai,neutral,-0.4164821079057102,,GPT-4o-mini
openai,popular,-0.0180808232863027,,GPT-4o-mini
