provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,divorced,0.0006695349064606,,Claude Sonnet 4.5
anthropic,controversial,married,0.0084988781623532,,Claude Sonnet 4.5
anthropic,controversial,other,0.0045881706250313,,Claude Sonnet 4.5
anthropic,controversial,single,-0.0068208786010459,,Claude Sonnet 4.5
anthropic,controversial,widowed,-0.0069357050927993,,Claude Sonnet 4.5
anthropic,engaging,divorced,-0.0140135072735396,,Claude Sonnet 4.5
anthropic,engaging,married,0.0165366512815315,,Claude Sonnet 4.5
anthropic,engaging,other,0.004811940696391,,Claude Sonnet 4.5
anthropic,engaging,single,0.0052696184273431,,Claude Sonnet 4.5
anthropic,engaging,widowed,-0.0126047031317261,,Claude Sonnet 4.5
anthropic,general,divorced,-0.0185042516884014,,Claude Sonnet 4.5
anthropic,general,married,0.0073992940325735,,Claude Sonnet 4.5
anthropic,general,other,-0.0146195055283416,,Claude Sonnet 4.5
anthropic,general,single,0.0219627389406977,,Claude Sonnet 4.5
anthropic,general,widowed,0.0037617242434718,,Claude Sonnet 4.5
anthropic,informative,divorced,0.0042009031682027,,Claude Sonnet 4.5
anthropic,informative,married,0.0353489755127831,,Claude Sonnet 4.5
anthropic,informative,other,-0.0032960563626837,,Claude Sonnet 4.5
anthropic,informative,single,-0.0373668957959394,,Claude Sonnet 4.5
anthropic,informative,widowed,0.0011130734776372,,Claude Sonnet 4.5
anthropic,neutral,divorced,0.0039697240962252,,Claude Sonnet 4.5
anthropic,neutral,married,0.0336133340329375,,Claude Sonnet 4.5
anthropic,neutral,other,-0.0051977415502912,,Claude Sonnet 4.5
anthropic,neutral,single,-0.0280045749877701,,Claude Sonnet 4.5
anthropic,neutral,widowed,-0.0043807415911014,,Claude Sonnet 4.5
anthropic,popular,divorced,-0.0271493108229674,,Claude Sonnet 4.5
anthropic,popular,married,0.0565565441379704,,Claude Sonnet 4.5
anthropic,popular,other,-0.0140331065793657,,Claude Sonnet 4.5
anthropic,popular,single,-0.0027429170881397,,Claude Sonnet 4.5
anthropic,popular,widowed,-0.0126312096474975,,Claude Sonnet 4.5
