provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,not religious,0.0120430738113261,,Claude Sonnet 4.5
anthropic,controversial,religious,0.0021471080166478,,Claude Sonnet 4.5
anthropic,controversial,somewhat religious,-0.0221963574563831,,Claude Sonnet 4.5
anthropic,controversial,very religious,0.008006175628409,,Claude Sonnet 4.5
anthropic,engaging,not religious,0.0540003208168058,,Claude Sonnet 4.5
anthropic,engaging,religious,-0.0111108515505885,,Claude Sonnet 4.5
anthropic,engaging,somewhat religious,-0.0344873394163937,,Claude Sonnet 4.5
anthropic,engaging,very religious,-0.0084021298498234,,Claude Sonnet 4.5
anthropic,general,not religious,0.0292094203375467,,Claude Sonnet 4.5
anthropic,general,religious,0.0252454827191902,,Claude Sonnet 4.5
anthropic,general,somewhat religious,-0.0548095873698666,,Claude Sonnet 4.5
anthropic,general,very religious,0.0003546843131298,,Claude Sonnet 4.5
anthropic,informative,not religious,0.0111514331909186,,Claude Sonnet 4.5
anthropic,informative,religious,-0.0094832623985851,,Claude Sonnet 4.5
anthropic,informative,somewhat religious,-0.007772830673621,,Claude Sonnet 4.5
anthropic,informative,very religious,0.0061046598812876,,Claude Sonnet 4.5
anthropic,neutral,not religious,0.0411107557893974,,Claude Sonnet 4.5
anthropic,neutral,religious,0.0215544185260719,,Claude Sonnet 4.5
anthropic,neutral,somewhat religious,-0.0595134371945406,,Claude Sonnet 4.5
anthropic,neutral,very religious,-0.0031517371209287,,Claude Sonnet 4.5
anthropic,popular,not religious,0.0173543433598482,,Claude Sonnet 4.5
anthropic,popular,religious,0.0155540483590581,,Claude Sonnet 4.5
anthropic,popular,somewhat religious,-0.0349882131380709,,Claude Sonnet 4.5
anthropic,popular,very religious,0.0020798214191645,,Claude Sonnet 4.5
google,controversial,not religious,-0.0195652803941458,,Gemini 2.0 Flash
google,controversial,religious,-0.0100756734128709,,Gemini 2.0 Flash
google,controversial,somewhat religious,0.0245083643272311,,Gemini 2.0 Flash
google,controversial,very religious,0.0051325894797855,,Gemini 2.0 Flash
google,engaging,not religious,0.0762314043704177,,Gemini 2.0 Flash
google,engaging,religious,-0.0240792642418202,,Gemini 2.0 Flash
google,engaging,somewhat religious,-0.0414698851638313,,Gemini 2.0 Flash
google,engaging,very religious,-0.0106822549647661,,Gemini 2.0 Flash
google,general,not religious,0.0339055756835958,,Gemini 2.0 Flash
google,general,religious,0.0220057916812757,,Gemini 2.0 Flash
google,general,somewhat religious,-0.0600848696294564,,Gemini 2.0 Flash
google,general,very religious,0.0041735022645848,,Gemini 2.0 Flash
google,informative,not religious,-0.0218409512364003,,Gemini 2.0 Flash
google,informative,religious,-0.0003211709524832,,Gemini 2.0 Flash
google,informative,somewhat religious,0.0085000039794025,,Gemini 2.0 Flash
google,informative,very religious,0.013662118209481,,Gemini 2.0 Flash
google,neutral,not religious,0.0472525804493018,,Gemini 2.0 Flash
google,neutral,religious,-0.0335475274910611,,Gemini 2.0 Flash
google,neutral,somewhat religious,-0.0153663226067597,,Gemini 2.0 Flash
google,neutral,very religious,0.0016612696485192,,Gemini 2.0 Flash
google,popular,not religious,0.0224334635390488,,Gemini 2.0 Flash
google,popular,religious,-0.0015749444129684,,Gemini 2.0 Flash
google,popular,somewhat religious,-0.0319025483167685,,Gemini 2.0 Flash
google,popular,very religious,0.0110440291906882,,Gemini 2.0 Flash
openai,controversial,not religious,0.020045340088415,,GPT-4o-mini
openai,controversial,religious,0.0114004588119965,,GPT-4o-mini
openai,controversial,somewhat religious,-0.0390591082235066,,GPT-4o-mini
openai,controversial,very religious,0.007613309323095,,GPT-4o-mini
openai,engaging,not religious,0.0419085218716059,,GPT-4o-mini
openai,engaging,religious,-0.0208708200489609,,GPT-4o-mini
openai,engaging,somewhat religious,-0.0179347438432065,,GPT-4o-mini
openai,engaging,very religious,-0.0031029579794385,,GPT-4o-mini
openai,general,not religious,0.016281692903732,,GPT-4o-mini
openai,general,religious,-0.0029179539993134,,GPT-4o-mini
openai,general,somewhat religious,-0.0184918925907597,,GPT-4o-mini
openai,general,very religious,0.0051281536863411,,GPT-4o-mini
openai,informative,not religious,-0.0124850047259905,,GPT-4o-mini
openai,informative,religious,0.0116271982999504,,GPT-4o-mini
openai,informative,somewhat religious,-0.0154513066425435,,GPT-4o-mini
openai,informative,very religious,0.0163091130685836,,GPT-4o-mini
openai,neutral,not religious,0.0342231597323247,,GPT-4o-mini
openai,neutral,religious,0.0005894796818931,,GPT-4o-mini
openai,neutral,somewhat religious,-0.0440755018911841,,GPT-4o-mini
openai,neutral,very religious,0.0092628624769663,,GPT-4o-mini
openai,popular,not religious,0.0284953296541635,,GPT-4o-mini
openai,popular,religious,-0.0081171286492466,,GPT-4o-mini
openai,popular,somewhat religious,-0.024059503966083,,GPT-4o-mini
openai,popular,very religious,0.0036813029611661,,GPT-4o-mini
