feature,feature_type,category,pool_proportion,pool_proportion_std,pool_mean,pool_mean_std
author_age,categorical,18-24,0.015251,0.002088,,
author_age,categorical,25-34,0.156287,0.006727,,
author_age,categorical,35-44,0.194813,0.006472,,
author_age,categorical,45-54,0.192323,0.006743,,
author_age,categorical,55-64,0.263687,0.011022,,
author_age,categorical,65+,0.177639,0.007056,,
author_education,categorical,college,0.270051,0.004927,,
author_education,categorical,high school,0.183421,0.007468,,
author_education,categorical,less than high school,0.012198,0.001806,,
author_education,categorical,postgraduate,0.169753,0.00456,,
author_education,categorical,some college,0.364577,0.006023,,
author_gender,categorical,female,0.538228,0.01004,,
author_gender,categorical,male,0.461772,0.01004,,
author_ideology,categorical,center,0.314854,0.006644,,
author_ideology,categorical,center-left,0.207203,0.006358,,
author_ideology,categorical,center-right,0.171629,0.006174,,
author_ideology,categorical,left,0.203728,0.008507,,
author_ideology,categorical,right,0.102585,0.002882,,
author_income,categorical,$100k+,0.208134,0.005458,,
author_income,categorical,$30-60k,0.301407,0.008542,,
author_income,categorical,$60-100k,0.23838,0.00509,,
author_income,categorical,<$30k,0.203643,0.006914,,
author_income,categorical,Prefer not to say,0.048436,0.004139,,
author_marital_status,categorical,divorced,0.139926,0.00487,,
author_marital_status,categorical,married,0.598426,0.007049,,
author_marital_status,categorical,other,0.050934,0.00326,,
author_marital_status,categorical,single,0.164756,0.004856,,
author_marital_status,categorical,widowed,0.045958,0.003197,,
author_partisanship,categorical,Democrat,0.436427,0.008089,,
author_partisanship,categorical,Independent,0.290395,0.00542,,
author_partisanship,categorical,Other,0.053639,0.003925,,
author_partisanship,categorical,Republican,0.219538,0.007419,,
author_race,categorical,Middle Eastern,0.001074,0.000404,,
author_race,categorical,Mixed,0.031673,0.003108,,
author_race,categorical,asian,0.018153,0.00248,,
author_race,categorical,black,0.083254,0.003782,,
author_race,categorical,hispanic,0.055255,0.003978,,
author_race,categorical,native american,0.0126,0.002372,,
author_race,categorical,other,0.014405,0.001816,,
author_race,categorical,white,0.783585,0.005188,,
author_religiosity,categorical,not religious,0.597086,0.009676,,
author_religiosity,categorical,religious,0.126079,0.004865,,
author_religiosity,categorical,somewhat religious,0.204409,0.007429,,
author_religiosity,categorical,very religious,0.072426,0.005531,,
primary_topic,categorical,arts_&_culture,0.013325,0.001734,,
primary_topic,categorical,business_&_entrepreneurs,0.081658,0.006183,,
primary_topic,categorical,celebrity_&_pop_culture,0.042791,0.002375,,
primary_topic,categorical,diaries_&_daily_life,0.163538,0.005628,,
primary_topic,categorical,family,0.003931,0.000869,,
primary_topic,categorical,fashion_&_style,0.018775,0.002226,,
primary_topic,categorical,film_tv_&_video,0.06272,0.002866,,
primary_topic,categorical,fitness_&_health,0.013751,0.001588,,
primary_topic,categorical,food_&_dining,0.057422,0.00482,,
primary_topic,categorical,gaming,0.025169,0.002503,,
primary_topic,categorical,learning_&_educational,0.007631,0.00112,,
primary_topic,categorical,music,0.037264,0.002541,,
primary_topic,categorical,news_&_social_concern,0.32855,0.015208,,
primary_topic,categorical,other_hobbies,0.018087,0.000966,,
primary_topic,categorical,relationships,0.000954,0.00038,,
primary_topic,categorical,science_&_technology,0.032124,0.00241,,
primary_topic,categorical,sports,0.086312,0.005113,,
primary_topic,categorical,travel_&_adventure,0.00594,0.001068,,
primary_topic,categorical,youth_&_student_life,0.000127,4e-06,,
