feature,feature_type,category,pool_proportion,pool_proportion_std,pool_mean,pool_mean_std
author_age,categorical,18-24,0.136736,0.011255,,
author_age,categorical,25-34,0.14125,0.007149,,
author_age,categorical,35-44,0.221597,0.012768,,
author_age,categorical,45-54,0.132361,0.010181,,
author_age,categorical,55-64,0.187361,0.016207,,
author_age,categorical,65+,0.180694,0.010539,,
author_education,categorical,college,0.448125,0.017958,,
author_education,categorical,high school,0.298819,0.015009,,
author_education,categorical,postgraduate,0.253056,0.010983,,
author_gender,categorical,female,0.480139,0.018966,,
author_gender,categorical,male,0.479375,0.017947,,
author_gender,categorical,non-binary,0.029931,0.005027,,
author_gender,categorical,other,0.010556,0.003186,,
author_ideology,categorical,conservative,0.242847,0.015972,,
author_ideology,categorical,liberal,0.275764,0.014635,,
author_ideology,categorical,moderate,0.299653,0.012469,,
author_ideology,categorical,very conservative,0.082431,0.007818,,
author_ideology,categorical,very liberal,0.099306,0.007624,,
author_income,categorical,100k+,0.152708,0.009938,,
author_income,categorical,25k-50k,0.252292,0.014228,,
author_income,categorical,50k-75k,0.247153,0.012208,,
author_income,categorical,75k-100k,0.199583,0.012704,,
author_income,categorical,<25k,0.148264,0.012346,,
author_marital_status,categorical,divorced,0.145208,0.011945,,
author_marital_status,categorical,married,0.455556,0.016248,,
author_marital_status,categorical,single,0.350069,0.014236,,
author_marital_status,categorical,widowed,0.049167,0.006953,,
author_partisanship,categorical,Democrat,0.379375,0.012068,,
author_partisanship,categorical,Independent,0.241736,0.011425,,
author_partisanship,categorical,Other,0.059444,0.009208,,
author_partisanship,categorical,Republican,0.319444,0.013875,,
author_race,categorical,Asian,0.079236,0.006259,,
author_race,categorical,Black,0.115625,0.012677,,
author_race,categorical,Hispanic,0.1375,0.008724,,
author_race,categorical,Other,0.063264,0.009453,,
author_race,categorical,White,0.604375,0.013533,,
author_religiosity,categorical,not religious,0.243125,0.01522,,
author_religiosity,categorical,religious,0.250625,0.016049,,
author_religiosity,categorical,somewhat religious,0.357014,0.017385,,
author_religiosity,categorical,very religious,0.149236,0.01426,,
primary_topic,categorical,arts_&_culture,0.070486,0.007551,,
primary_topic,categorical,business_&_entrepreneurs,0.057917,0.007389,,
primary_topic,categorical,celebrity_&_pop_culture,0.090694,0.011,,
primary_topic,categorical,diaries_&_daily_life,0.057153,0.006667,,
primary_topic,categorical,family,0.078889,0.00889,,
primary_topic,categorical,fitness_&_health,0.091319,0.008038,,
primary_topic,categorical,food_&_dining,0.049444,0.006969,,
primary_topic,categorical,gaming,0.071597,0.007473,,
primary_topic,categorical,learning_&_educational,0.049236,0.006518,,
primary_topic,categorical,news_&_social_concern,0.088889,0.011278,,
primary_topic,categorical,other,0.07125,0.006993,,
primary_topic,categorical,politics,0.031042,0.005495,,
primary_topic,categorical,science_&_technology,0.057083,0.007289,,
primary_topic,categorical,sports,0.072569,0.006509,,
primary_topic,categorical,travel_&_adventure,0.062431,0.007934,,
