feature,feature_display,neutral,general,popular,engaging,informative,controversial,average
polarization_score,Content: Polarization Score,0.03778692078097054,0.01446724423324564,0.0052574658569121135,0.020483106640879725,0.0889923401358158,0.21084335995639503,0.06297173960070314
Text Length,Text Length,0.0436661362444101,0.035952268708849155,0.01614854412214704,0.029238540007058073,0.0539492224599618,0.07663744273067281,0.04259869237884983
primary_topic,Content: Primary Topic,0.01387139299383402,0.008427475571904985,0.006025015997901943,0.008352128105022656,0.03801100057415354,0.0730043616573146,0.02461522915002196
has_mention,Style: Has Mention,0.00942683278143573,0.05030174236698879,0.027031795773982875,0.01640512424629968,0.021475896707324305,0.006259785799769202,0.021816862945966763
sentiment_polarity,Sentiment: Polarity,0.0032235461953432007,0.0053739206178303025,0.007152908742115172,0.0076365800979509785,0.014066977753256306,0.06498637276280912,0.01707338436155085
has_url,Style: Has URL,0.001152192294984137,0.009589330215963907,0.0073003945386561605,0.004241995751434493,0.033783842986061324,0.000613629229790631,0.009446897502815108
avg_word_length,Text: Avg Word Length,0.006647037060373839,0.013711782191794301,0.011620954846269646,0.008816985821315912,0.004813747038339389,0.006548865878503056,0.008693228806099358
retweet_count,Post Meta: Retweets,0.014243385319031054,0.006094498206297629,0.004220373598543176,0.006319184193278676,0.0027198389164107863,0.003157148122601277,0.006125738059360434
favorite_count,Post Meta: Likes,0.011772734544694382,0.007422669142537233,0.005670313488580245,0.007166189195627927,0.001363282882793476,0.002722003893075574,0.00601953219121814
user_followers_count,Author Meta: Followers,0.005629019206137378,0.009116831745100674,0.006638869754517429,0.005913540634146841,0.0065206210952292835,0.0016432220250842359,0.005910350743369307
toxicity,Toxicity: Toxicity,0.0010076746496805174,0.0008702893435723083,0.001993569249426204,0.004732466991609383,0.006622881312806619,0.008815031292947669,0.00400698547334045
user_friends_count,Author Meta: Following,0.004477927062840328,0.008277613420905498,0.0007625293739650731,0.001953452678939752,0.0039433251419388835,0.001320266617958533,0.003455852382758011
author_age,Author: Age,0.0012153323141699665,0.0010098363263479828,0.002546102097406459,0.0016583164770589672,0.005294839662983722,0.008935118555168162,0.0034432575721892096
author_ideology,Author: Ideology,0.002402901984932006,0.0026043611936425737,0.0031513072531666464,0.0020563666955103915,0.004103255388470562,0.005464680142491272,0.0032971454430355753
has_hashtag,Style: Has Hashtag,0.0005738984701893932,0.0027211164215586183,0.002791879010718351,0.0018053130566657298,0.003999551671488244,0.005008163193435317,0.002816653637342609
author_race,Author: Race,0.0015460420789740858,0.0018716686664682711,0.0024265662880566486,0.0021736396455410037,0.0031242158939774147,0.0026281343068347077,0.0022950444799753555
has_emoji,Style: Has Emoji,0.000597166930480671,0.00041370305975027186,0.0002787031347597079,0.0005599561219084589,0.004359885333581213,0.006687426059620402,0.0021494734400167876
sentiment_subjectivity,Sentiment: Subjectivity,0.0009476378635322127,0.0012837894802981845,0.0013577918436706341,0.0020114287491933675,0.005936420071157002,0.0006105373767087573,0.002024600897426693
author_education,Author: Education,0.002741462713220679,0.0009553076518047033,0.0012539390740568055,0.0010764534245099732,0.0029454711287845922,0.0030902355661504397,0.002010478259754532
author_gender,Author: Gender,0.0010521486084842998,0.0005236408678762891,0.00048702028990425827,0.00034701938306265414,0.002827216081820029,0.00469647604309171,0.0016555868790398734
author_income,Author: Income,0.0011626154483278613,0.0011433065741575552,0.0019441309334802823,0.0012971646892157417,0.0019911257427471705,0.0017846054548819833,0.001553824807135099
author_marital_status,Author: Marital Status,0.0017745530993173366,0.0006637043049286407,0.0011853455987633052,0.0007473148139837399,0.001922188857336024,0.0021314262003695977,0.001404088812449774
user_statuses_count,Author Meta: Tweet Count,0.0007118758268857304,0.002559001105036802,0.00030460397275878197,0.0002794606999204267,0.002416748630681161,0.000785693844880634,0.0011762306800272562
author_partisanship,Author: Partisanship,0.00028809730991651077,0.000608427313337512,0.0014278538126499844,0.0008345876917897625,0.0005268431473981983,0.0006157301542017187,0.0007169232382156144
user_favourites_count,Author Meta: Likes Given,0.0016113554539222061,8.978576936498746e-05,0.00010780633621636659,0.0010873609540256385,0.0010554708289045491,0.00018051715780366558,0.0006887160833729022
author_religiosity,Author: Religiosity,0.00035918905045607047,0.0002751000680850574,0.0008371667453785639,0.00023550586267075664,0.0007756206668571661,0.00043138703169698264,0.00048566157085743286
retweeted,Post Meta: Is Retweeted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean Across Features,Mean Across Features,0.00629218801061275,0.006901052391394367,0.004441590804963106,0.005089969726985953,0.011760808522602908,0.018503763742750264,0.008831562199884891
