provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.2925003086011903,,Claude Sonnet 4.5
anthropic,engaging,-0.3962023104592846,,Claude Sonnet 4.5
anthropic,general,-0.4304167455181655,,Claude Sonnet 4.5
anthropic,informative,-0.2241562129673733,,Claude Sonnet 4.5
anthropic,neutral,-0.2812766386657879,,Claude Sonnet 4.5
anthropic,popular,-0.420177336859286,,Claude Sonnet 4.5
gemini,controversial,-0.2417705496966569,,Gemini 2.0 Flash
gemini,engaging,-0.2521426030387905,,Gemini 2.0 Flash
gemini,general,-0.3488267181432016,,Gemini 2.0 Flash
gemini,informative,-0.2607229142708158,,Gemini 2.0 Flash
gemini,neutral,-0.1846854371408284,,Gemini 2.0 Flash
gemini,popular,-0.3335830508229449,,Gemini 2.0 Flash
openai,controversial,-0.1617497583042819,,GPT-4o-mini
openai,engaging,-0.3124767783146414,,GPT-4o-mini
openai,general,-0.2510877794251476,,GPT-4o-mini
openai,informative,-0.1914085685890256,,GPT-4o-mini
openai,neutral,-0.2557066693963188,,GPT-4o-mini
openai,popular,-0.1933901794651955,,GPT-4o-mini
