provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.086181082474318,,Claude Sonnet 4.5
anthropic,engaging,-0.0528808467813307,,Claude Sonnet 4.5
anthropic,general,-0.0574698852900139,,Claude Sonnet 4.5
anthropic,informative,-0.0541506108360207,,Claude Sonnet 4.5
anthropic,neutral,-0.0335392962509472,,Claude Sonnet 4.5
anthropic,popular,-0.0755872009539746,,Claude Sonnet 4.5
gemini,controversial,-0.0237231976234908,,Gemini 2.0 Flash
gemini,engaging,0.004680919484072,,Gemini 2.0 Flash
gemini,general,-0.0368394841685887,,Gemini 2.0 Flash
gemini,informative,-0.0493709087817733,,Gemini 2.0 Flash
gemini,neutral,-0.0116481571942405,,Gemini 2.0 Flash
gemini,popular,0.00291447040504,,Gemini 2.0 Flash
openai,controversial,-0.0578570259217404,,GPT-4o-mini
openai,engaging,0.0334633992866933,,GPT-4o-mini
openai,general,0.03759396909414,,GPT-4o-mini
openai,informative,-0.0601536833459691,,GPT-4o-mini
openai,neutral,0.0061703002879473,,GPT-4o-mini
openai,popular,0.0302829478917929,,GPT-4o-mini
