provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,3958.496299429142,,Claude Sonnet 4.5
anthropic,engaging,1293.7097727452783,,Claude Sonnet 4.5
anthropic,general,3781.5009070555298,,Claude Sonnet 4.5
anthropic,informative,3560.8251462600383,,Claude Sonnet 4.5
anthropic,neutral,2054.518911158788,,Claude Sonnet 4.5
anthropic,popular,-209.91064944250505,,Claude Sonnet 4.5
gemini,controversial,4863.6942250320535,,Gemini 2.0 Flash
gemini,engaging,4060.243701647282,,Gemini 2.0 Flash
gemini,general,14831.004776508003,,Gemini 2.0 Flash
gemini,informative,8143.622346906966,,Gemini 2.0 Flash
gemini,neutral,5281.756575196081,,Gemini 2.0 Flash
gemini,popular,4475.727172113158,,Gemini 2.0 Flash
openai,controversial,3365.5092464115023,,GPT-4o-mini
openai,engaging,1748.3376199142804,,GPT-4o-mini
openai,general,3161.6881019614793,,GPT-4o-mini
openai,informative,12300.063033074295,,GPT-4o-mini
openai,neutral,4105.733659529324,,GPT-4o-mini
openai,popular,-1518.1928945732889,,GPT-4o-mini
