provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-373.488734939865,,Claude Sonnet 4.5
anthropic,engaging,2709.800216111973,,Claude Sonnet 4.5
anthropic,general,257.7704979216942,,Claude Sonnet 4.5
anthropic,informative,-2943.154362039566,,Claude Sonnet 4.5
anthropic,neutral,2606.7754914921206,,Claude Sonnet 4.5
anthropic,popular,1290.3750684430688,,Claude Sonnet 4.5
gemini,controversial,-1669.146333464514,,Gemini 2.0 Flash
gemini,engaging,384.0019482208827,,Gemini 2.0 Flash
gemini,general,-1143.5036599217165,,Gemini 2.0 Flash
gemini,informative,-2072.5568748209243,,Gemini 2.0 Flash
gemini,neutral,1037.6976401954653,,Gemini 2.0 Flash
gemini,popular,-212.4428991307741,,Gemini 2.0 Flash
openai,controversial,-140.27692664698952,,GPT-4o-mini
openai,engaging,3841.992241824264,,GPT-4o-mini
openai,general,-185.0525901913352,,GPT-4o-mini
openai,informative,-2163.851924595654,,GPT-4o-mini
openai,neutral,4833.004185700782,,GPT-4o-mini
openai,popular,-124.7405083248832,,GPT-4o-mini
