provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,Democrat,-0.035626504201235,,Claude Sonnet 4.5
anthropic,controversial,Independent,0.0276049294906889,,Claude Sonnet 4.5
anthropic,controversial,Other,0.0035690610664757,,Claude Sonnet 4.5
anthropic,controversial,Republican,0.0044525136440703,,Claude Sonnet 4.5
anthropic,engaging,Democrat,0.0361394237911402,,Claude Sonnet 4.5
anthropic,engaging,Independent,-0.0061516170543622,,Claude Sonnet 4.5
anthropic,engaging,Other,-0.0116689721966588,,Claude Sonnet 4.5
anthropic,engaging,Republican,-0.0183188345401191,,Claude Sonnet 4.5
anthropic,general,Democrat,0.0201604596185639,,Claude Sonnet 4.5
anthropic,general,Independent,0.0353986189296511,,Claude Sonnet 4.5
anthropic,general,Other,0.0014292262606805,,Claude Sonnet 4.5
anthropic,general,Republican,-0.0569883048088956,,Claude Sonnet 4.5
anthropic,informative,Democrat,0.001667747686529,,Claude Sonnet 4.5
anthropic,informative,Independent,0.0346246966560417,,Claude Sonnet 4.5
anthropic,informative,Other,-0.0096962328982085,,Claude Sonnet 4.5
anthropic,informative,Republican,-0.0265962114443622,,Claude Sonnet 4.5
anthropic,neutral,Democrat,0.0264878728640656,,Claude Sonnet 4.5
anthropic,neutral,Independent,0.0059324308251575,,Claude Sonnet 4.5
anthropic,neutral,Other,-0.0036895282417558,,Claude Sonnet 4.5
anthropic,neutral,Republican,-0.0287307754474673,,Claude Sonnet 4.5
anthropic,popular,Democrat,0.053662565965405,,Claude Sonnet 4.5
anthropic,popular,Independent,0.0315673110625792,,Claude Sonnet 4.5
anthropic,popular,Other,0.001112802374632,,Claude Sonnet 4.5
anthropic,popular,Republican,-0.0863426794026163,,Claude Sonnet 4.5
google,controversial,Democrat,-0.0250487991787279,,Gemini 2.0 Flash
google,controversial,Independent,0.0336808316825956,,Gemini 2.0 Flash
google,controversial,Other,-0.0002641180241272,,Gemini 2.0 Flash
google,controversial,Republican,-0.0083679144797405,,Gemini 2.0 Flash
google,engaging,Democrat,-0.0050142415955639,,Gemini 2.0 Flash
google,engaging,Independent,0.0368945742994461,,Gemini 2.0 Flash
google,engaging,Other,-0.0230529117905253,,Gemini 2.0 Flash
google,engaging,Republican,-0.0088274209133567,,Gemini 2.0 Flash
google,general,Democrat,0.0095841087305753,,Gemini 2.0 Flash
google,general,Independent,0.0098942676273639,,Gemini 2.0 Flash
google,general,Other,-0.0076277218431391,,Gemini 2.0 Flash
google,general,Republican,-0.0118506545148001,,Gemini 2.0 Flash
google,informative,Democrat,-0.0274776717522957,,Gemini 2.0 Flash
google,informative,Independent,0.025642891800097,,Gemini 2.0 Flash
google,informative,Other,0.0030181321544737,,Gemini 2.0 Flash
google,informative,Republican,-0.001183352202275,,Gemini 2.0 Flash
google,neutral,Democrat,-0.0107867758519956,,Gemini 2.0 Flash
google,neutral,Independent,0.0246595278306802,,Gemini 2.0 Flash
google,neutral,Other,-0.0034546296629016,,Gemini 2.0 Flash
google,neutral,Republican,-0.010418122315783,,Gemini 2.0 Flash
google,popular,Democrat,-0.0171592301746924,,Gemini 2.0 Flash
google,popular,Independent,0.032493733533177,,Gemini 2.0 Flash
google,popular,Other,-0.0086016491376402,,Gemini 2.0 Flash
google,popular,Republican,-0.0067328542208443,,Gemini 2.0 Flash
openai,controversial,Democrat,-0.0166747993927564,,GPT-4o-mini
openai,controversial,Independent,0.0471951131352562,,GPT-4o-mini
openai,controversial,Other,0.0025545796284247,,GPT-4o-mini
openai,controversial,Republican,-0.0330748933709246,,GPT-4o-mini
openai,engaging,Democrat,0.005716869141493,,GPT-4o-mini
openai,engaging,Independent,0.0166456838901513,,GPT-4o-mini
openai,engaging,Other,-0.022522165605137,,GPT-4o-mini
openai,engaging,Republican,0.0001596125734927,,GPT-4o-mini
openai,general,Democrat,-0.0021327885124595,,GPT-4o-mini
openai,general,Independent,0.0148070120607212,,GPT-4o-mini
openai,general,Other,-0.0070543113485377,,GPT-4o-mini
openai,general,Republican,-0.0056199121997239,,GPT-4o-mini
openai,informative,Democrat,-0.018106485475985,,GPT-4o-mini
openai,informative,Independent,0.0108345916019557,,GPT-4o-mini
openai,informative,Other,0.0175249856197871,,GPT-4o-mini
openai,informative,Republican,-0.0102530917457578,,GPT-4o-mini
openai,neutral,Democrat,-0.0053565285763427,,GPT-4o-mini
openai,neutral,Independent,0.0210329745933461,,GPT-4o-mini
openai,neutral,Other,-0.0058561436270414,,GPT-4o-mini
openai,neutral,Republican,-0.0098203023899618,,GPT-4o-mini
openai,popular,Democrat,0.0217076517933311,,GPT-4o-mini
openai,popular,Independent,0.0072497310930603,,GPT-4o-mini
openai,popular,Other,-0.0121404992396424,,GPT-4o-mini
openai,popular,Republican,-0.016816883646749,,GPT-4o-mini
