provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,Middle Eastern,-0.0010530472554955,,Claude Sonnet 4.5
anthropic,controversial,Mixed,0.0110142535717644,,Claude Sonnet 4.5
anthropic,controversial,asian,0.003326164644265,,Claude Sonnet 4.5
anthropic,controversial,black,-0.0245285415145776,,Claude Sonnet 4.5
anthropic,controversial,hispanic,-0.0123403634945977,,Claude Sonnet 4.5
anthropic,controversial,native american,0.0004311014294408,,Claude Sonnet 4.5
anthropic,controversial,other,0.0049624988038194,,Claude Sonnet 4.5
anthropic,controversial,white,0.0181879338153809,,Claude Sonnet 4.5
anthropic,engaging,Middle Eastern,-0.000665867625516,,Claude Sonnet 4.5
anthropic,engaging,Mixed,0.0034022464182221,,Claude Sonnet 4.5
anthropic,engaging,asian,0.0152546901524078,,Claude Sonnet 4.5
anthropic,engaging,black,0.0043508970669795,,Claude Sonnet 4.5
anthropic,engaging,hispanic,-0.021224319845721,,Claude Sonnet 4.5
anthropic,engaging,native american,-0.001293384647284,,Claude Sonnet 4.5
anthropic,engaging,other,-0.0051764886355782,,Claude Sonnet 4.5
anthropic,engaging,white,0.0053522271164897,,Claude Sonnet 4.5
anthropic,general,Middle Eastern,-0.001181567546278,,Claude Sonnet 4.5
anthropic,general,Mixed,0.0084505891798033,,Claude Sonnet 4.5
anthropic,general,asian,0.0125738515046155,,Claude Sonnet 4.5
anthropic,general,black,-0.002844467356953,,Claude Sonnet 4.5
anthropic,general,hispanic,-0.0177530488498547,,Claude Sonnet 4.5
anthropic,general,native american,0.0043045745077897,,Claude Sonnet 4.5
anthropic,general,other,-0.003598121193133,,Claude Sonnet 4.5
anthropic,general,white,4.818975401033043e-05,,Claude Sonnet 4.5
anthropic,informative,Middle Eastern,-0.0014199044791532,,Claude Sonnet 4.5
anthropic,informative,Mixed,0.0007632449543047,,Claude Sonnet 4.5
anthropic,informative,asian,0.0234427587546487,,Claude Sonnet 4.5
anthropic,informative,black,-0.0048942876931415,,Claude Sonnet 4.5
anthropic,informative,hispanic,-0.0142971253347255,,Claude Sonnet 4.5
anthropic,informative,native american,0.0017503604631431,,Claude Sonnet 4.5
anthropic,informative,other,-0.0023713543359213,,Claude Sonnet 4.5
anthropic,informative,white,-0.002973692329155,,Claude Sonnet 4.5
anthropic,neutral,Middle Eastern,-0.0011668611435239,,Claude Sonnet 4.5
anthropic,neutral,Mixed,0.0138264450949658,,Claude Sonnet 4.5
anthropic,neutral,asian,0.0083393861673455,,Claude Sonnet 4.5
anthropic,neutral,black,-0.0019615579415114,,Claude Sonnet 4.5
anthropic,neutral,hispanic,-0.0164267985511574,,Claude Sonnet 4.5
anthropic,neutral,native american,-0.0048538598692641,,Claude Sonnet 4.5
anthropic,neutral,other,0.0043580404887625,,Claude Sonnet 4.5
anthropic,neutral,white,-0.0021147942456171,,Claude Sonnet 4.5
anthropic,popular,Middle Eastern,-0.0006769564040075,,Claude Sonnet 4.5
anthropic,popular,Mixed,0.00750460629326,,Claude Sonnet 4.5
anthropic,popular,asian,0.0252408640782587,,Claude Sonnet 4.5
anthropic,popular,black,-0.0050782407846373,,Claude Sonnet 4.5
anthropic,popular,hispanic,-0.0140315764926568,,Claude Sonnet 4.5
anthropic,popular,native american,-0.0087598585780413,,Claude Sonnet 4.5
