feature,feature_type,category,pool_proportion,pool_proportion_std,pool_mean,pool_mean_std
author_age,categorical,18-24,0.015706,0.002122,,
author_age,categorical,25-34,0.153648,0.005879,,
author_age,categorical,35-44,0.196263,0.005949,,
author_age,categorical,45-54,0.192815,0.005866,,
author_age,categorical,55-64,0.26294,0.008733,,
author_age,categorical,65+,0.178628,0.006768,,
author_education,categorical,college,0.269066,0.008561,,
author_education,categorical,high school,0.180695,0.005552,,
author_education,categorical,less than high school,0.011836,0.001953,,
author_education,categorical,postgraduate,0.174231,0.004395,,
author_education,categorical,some college,0.364173,0.008489,,
author_gender,categorical,female,0.536949,0.009664,,
author_gender,categorical,male,0.463051,0.009664,,
author_ideology,categorical,center,0.310119,0.006527,,
author_ideology,categorical,center-left,0.206357,0.00536,,
author_ideology,categorical,center-right,0.175756,0.00684,,
author_ideology,categorical,left,0.20535,0.006681,,
author_ideology,categorical,right,0.102418,0.004543,,
author_income,categorical,$100k+,0.210333,0.005753,,
author_income,categorical,$30-60k,0.304173,0.009575,,
author_income,categorical,$60-100k,0.237365,0.00921,,
author_income,categorical,<$30k,0.200926,0.00694,,
author_income,categorical,Prefer not to say,0.047204,0.003331,,
author_marital_status,categorical,divorced,0.142093,0.008414,,
author_marital_status,categorical,married,0.596294,0.007106,,
author_marital_status,categorical,other,0.050725,0.003425,,
author_marital_status,categorical,single,0.164137,0.006303,,
author_marital_status,categorical,widowed,0.046751,0.003868,,
author_partisanship,categorical,Democrat,0.433739,0.007793,,
author_partisanship,categorical,Independent,0.290126,0.008653,,
author_partisanship,categorical,Other,0.05345,0.003086,,
author_partisanship,categorical,Republican,0.222685,0.005133,,
author_race,categorical,Middle Eastern,0.001045,0.000346,,
author_race,categorical,Mixed,0.033745,0.002723,,
author_race,categorical,asian,0.017416,0.001726,,
author_race,categorical,black,0.085759,0.006402,,
author_race,categorical,hispanic,0.052996,0.002957,,
author_race,categorical,native american,0.011941,0.001471,,
author_race,categorical,other,0.0133,0.001758,,
author_race,categorical,white,0.783797,0.004673,,
author_religiosity,categorical,not religious,0.595044,0.008374,,
author_religiosity,categorical,religious,0.126355,0.004915,,
author_religiosity,categorical,somewhat religious,0.20586,0.007637,,
author_religiosity,categorical,very religious,0.072741,0.004774,,
primary_topic,categorical,arts_&_culture,0.013625,0.001483,,
primary_topic,categorical,business_&_entrepreneurs,0.078891,0.004254,,
primary_topic,categorical,celebrity_&_pop_culture,0.044019,0.003175,,
primary_topic,categorical,diaries_&_daily_life,0.168897,0.006407,,
primary_topic,categorical,family,0.004153,0.000833,,
primary_topic,categorical,fashion_&_style,0.017116,0.002013,,
primary_topic,categorical,film_tv_&_video,0.060714,0.002897,,
primary_topic,categorical,fitness_&_health,0.014324,0.001389,,
primary_topic,categorical,food_&_dining,0.05705,0.00413,,
primary_topic,categorical,gaming,0.023111,0.002249,,
primary_topic,categorical,learning_&_educational,0.008404,0.001169,,
primary_topic,categorical,music,0.038346,0.002658,,
primary_topic,categorical,news_&_social_concern,0.323988,0.011133,,
primary_topic,categorical,other_hobbies,0.019327,0.001828,,
primary_topic,categorical,relationships,0.000868,0.000396,,
primary_topic,categorical,science_&_technology,0.031692,0.002783,,
primary_topic,categorical,sports,0.0895,0.00504,,
primary_topic,categorical,travel_&_adventure,0.005917,0.001034,,
primary_topic,categorical,youth_&_student_life,0.000174,6.8e-05,,
