user_id,author_gender,author_partisanship,author_ideology,author_race,author_age,author_education,author_income,author_marital_status,author_religiosity
user_001,male,Republican,moderate,White,62,postgraduate,50k-75k,married,somewhat religious
user_002,male,Democrat,conservative,Black,23,high school,50k-75k,widowed,religious
user_003,female,Democrat,moderate,White,37,postgraduate,50k-75k,single,very religious
user_004,male,Democrat,liberal,Hispanic,51,college,50k-75k,divorced,somewhat religious
user_005,female,Republican,moderate,White,39,college,75k-100k,married,somewhat religious
user_006,female,Democrat,moderate,White,34,high school,75k-100k,divorced,not religious
user_007,male,Democrat,conservative,Asian,38,postgraduate,75k-100k,widowed,somewhat religious
user_008,female,Republican,liberal,White,30,college,75k-100k,single,religious
user_009,male,Democrat,liberal,White,56,college,25k-50k,married,not religious
user_010,female,Republican,liberal,White,36,college,75k-100k,single,religious
user_011,female,Independent,liberal,Other,18,postgraduate,<25k,single,religious
user_012,male,Republican,liberal,White,20,college,<25k,married,very religious
user_013,female,Independent,liberal,White,58,college,25k-50k,married,religious
user_014,female,Republican,moderate,Asian,54,postgraduate,25k-50k,married,not religious
user_015,female,Republican,liberal,White,39,college,75k-100k,single,somewhat religious
user_016,male,Democrat,moderate,White,25,college,50k-75k,married,religious
user_017,female,Republican,conservative,White,22,postgraduate,50k-75k,single,somewhat religious
user_018,female,Independent,conservative,Hispanic,69,postgraduate,75k-100k,divorced,somewhat religious
user_019,female,Democrat,conservative,White,25,college,25k-50k,married,religious
user_020,male,Democrat,conservative,White,67,high school,<25k,single,somewhat religious
user_021,male,Republican,moderate,White,37,postgraduate,25k-50k,single,somewhat religious
user_022,male,Other,liberal,White,57,college,25k-50k,single,religious
user_023,male,Democrat,very liberal,White,58,high school,50k-75k,single,very religious
user_024,non-binary,Republican,conservative,White,28,college,50k-75k,married,not religious
user_025,female,Independent,conservative,White,28,high school,100k+,single,not religious
user_026,female,Other,conservative,White,36,postgraduate,75k-100k,married,very religious
user_027,female,Democrat,conservative,White,62,postgraduate,25k-50k,single,very religious
user_028,male,Independent,moderate,White,34,high school,75k-100k,single,not religious
user_029,female,Democrat,liberal,Asian,52,college,<25k,married,religious
user_030,male,Democrat,liberal,Black,70,high school,<25k,married,not religious
user_031,male,Democrat,very liberal,White,68,college,100k+,single,not religious
user_032,male,Republican,moderate,Black,47,college,<25k,married,somewhat religious
user_033,female,Republican,moderate,White,35,postgraduate,75k-100k,single,somewhat religious
user_034,female,Democrat,conservative,Hispanic,23,college,50k-75k,divorced,religious
user_035,female,Democrat,moderate,Black,65,postgraduate,50k-75k,divorced,religious
user_036,male,Democrat,very conservative,White,32,college,25k-50k,married,religious
user_037,non-binary,Republican,liberal,White,54,postgraduate,25k-50k,married,somewhat religious
user_038,female,Independent,liberal,Hispanic,59,college,100k+,married,somewhat religious
user_039,female,Other,moderate,White,58,high school,50k-75k,widowed,religious
user_040,male,Independent,conservative,Hispanic,40,high school,75k-100k,divorced,very religious
user_041,male,Independent,conservative,White,72,college,75k-100k,single,very religious
user_042,male,Independent,liberal,Hispanic,36,postgraduate,25k-50k,single,somewhat religious
user_043,male,Democrat,moderate,White,20,college,<25k,married,religious
user_044,male,Republican,moderate,Asian,38,college,50k-75k,single,not religious
user_045,male,Democrat,very conservative,Hispanic,70,college,25k-50k,married,religious
user_046,female,Democrat,moderate,White,21,college,100k+,married,somewhat religious
user_047,female,Other,liberal,White,58,high school,<25k,divorced,not religious
user_048,female,Independent,very conservative,Hispanic,53,high school,<25k,married,somewhat religious
user_049,male,Republican,liberal,Asian,25,postgraduate,<25k,single,very religious
user_050,male,Democrat,moderate,White,37,postgraduate,<25k,single,somewhat religious
user_051,other,Republican,very liberal,White,23,high school,<25k,married,somewhat religious
